Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelvärde GAP,Normalized Power® (NP®),Training Stress Score®,Med. kraft,Maxkraft,Totalt antal årtag,Medel-Swolf,Medelårtagstempo,Steg,Urladdning av Body Battery,Dekompression,Bästa varvtid,Antal varv,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2025-12-11 10:12:00,false,"Mölndal Löpning","8.78","656","00:50:00","151","165","3.2","164","186","5:42","3:42","223","246","1.09","8.9","9.5","279","5:20","320","0.0","306","535","--","--","--","8,176","-14","Nej","00:50:00","1","--","--","--","00:50:00","00:50:00","-7","100"
Löpning,2025-12-09 18:04:45,false,"Göteborg Löpning","13.55","1,044","01:19:35","158","188","4.6","129","237","5:52","2:55","297","268","1.29","8.1","10.4","267","5:34","351","0.0","285","640","--","--","--","10,636","-16","Nej","00:01:04.4","11","--","--","--","01:06:14","01:19:35","11","88"
Löpning,2025-12-07 20:07:49,false,"Mölndal Löpning","8.93","625","00:46:53","148","161","3.2","162","179","5:15","3:51","246","229","1.19","8.6","10.1","277","4:57","355","0.0","341","515","--","--","--","7,558","-9","Nej","00:46:53","1","--","--","--","00:46:52","00:46:53","2","90"
Löpning,2025-12-06 16:09:47,false,"Mölndal Löpning","9.74","750","00:52:24","166","186","4.3","153","243","5:23","3:24","370","342","1.19","8.7","10.1","283","4:50","366","0.0","330","564","--","--","--","8,136","-12","Nej","00:06:24.0","7","--","--","--","00:51:35","00:52:24","22","133"
Löpning,2025-12-04 19:44:17,false,"Mölndal Löpning","8.88","621","00:49:55","144","154","3.0","160","243","5:37","3:45","242","248","1.12","8.9","9.8","284","5:20","322","0.0","312","462","--","--","--","7,994","-9","Nej","00:49:55","1","--","--","--","00:49:49","00:49:55","9","87"
Löpning,2025-12-02 18:18:46,false,"Göteborg Löpning","9.51","684","00:54:59","149","188","3.5","135","200","5:47","2:55","219","208","1.25","8.5","10.3","278","5:15","369","0.0","305","668","--","--","--","7,762","-10","Nej","00:00:50.7","7","--","--","--","00:49:06","00:54:59","46","149"
Löpning,2025-12-01 20:00:46,false,"Mölndal Löpning","6.56","465","00:38:43","140","152","2.6","159","179","5:54","3:48","207","196","1.08","9.2","9.7","290","5:33","322","0.0","305","513","--","--","--","6,130","-7","Nej","00:38:43","1","--","--","--","00:38:42","00:38:43","2","99"
Löpning,2025-11-30 10:38:41,false,"Norrköping Löpning","13.96","1,147","01:42:56","146","168","3.3","135","250","7:22","4:18","318","287","0.99","9.7","9.5","325","7:01","262","0.0","234","446","--","--","--","14,524","--","Nej","01:42:56","1","17","17","17","01:38:08","01:42:56","82","149"
Löpning,2025-11-29 11:20:00,false,"Norrköping Löpning","7.55","775","00:49:33","180","188","4.4","127","250","6:34","3:16","273","274","1.09","9.3","9.8","314","6:01","308","0.0","248","644","--","--","--","7,062","-13","Nej","00:49:33","1","--","--","--","00:48:20","00:49:33","47","123"
Löpning,2025-11-27 18:08:58,false,"Mölndal Löpning","10.65","760","01:06:52","141","160","3.0","148","200","6:17","3:28","251","237","1.09","9.0","9.7","285","5:57","312","0.0","280","543","--","--","--","9,998","-10","Nej","01:06:52","1","--","--","--","01:02:40","01:06:52","-8","69"
Löpning,2025-11-26 17:58:20,false,"Göteborg Löpning","10.34","708","01:01:44","140","155","2.9","157","181","5:58","3:39","240","195","1.07","9.3","9.8","294","5:43","316","0.0","296","662","--","--","--","9,686","-11","Nej","01:01:44","1","--","--","--","01:01:42","01:01:44","16","103"
Löpning,2025-11-25 18:04:52,false,"Göteborg Löpning","9.81","868","01:14:02","150","192","4.9","113","231","7:33","3:11","302","306","1.11","9.1","9.9","297","6:57","292","0.0","221","683","--","--","--","9,182","-13","Nej","00:01:50.0","6","--","--","--","00:59:00","01:14:02","31","125"
Löpning,2025-11-24 21:17:24,false,"Mölndal Löpning","7.60","551","00:42:43","147","172","3.1","157","231","5:37","3:55","230","217","1.14","9.0","10.2","290","5:10","348","0.0","323","538","--","--","--","6,684","-9","Nej","00:42:43","1","--","--","--","00:42:43","00:42:43","-3","114"
Löpning,2025-11-17 18:25:15,false,"Göteborg Löpning","9.71","760","01:04:36","146","164","3.1","143","246","6:39","4:11","298","287","1.06","9.4","9.7","307","6:14","298","0.0","265","494","--","--","--","9,524","-13","Nej","01:04:36","1","--","--","--","01:02:32","01:04:36","20","77"
Löpning,2025-11-16 10:04:58,false,"Göteborg Löpning","10.73","787","01:45:13","108","155","2.4","98","183","9:48","3:29","340","291","1.04","9.1","9.3","287","8:57","285","0.0","184","543","--","--","--","10,612","-21","Nej","01:45:13","1","--","--","--","01:06:40","01:45:13","-10","96"
Löpning,2025-11-15 10:54:12,false,"Göteborg Löpning","6.58","691","01:23:31","126","181","3.0","70","247","12:42","3:11","300","283","1.05","9.3","9.4","319","10:51","279","0.0","140","625","--","--","--","6,696","-11","Nej","00:10:52","2","--","--","--","00:45:19","01:23:31","43","131"
Löpning,2025-11-12 10:14:33,false,"Göteborg Löpning","8.04","570","00:45:05","145","154","2.9","161","209","5:36","3:36","198","210","1.12","8.9","9.8","282","5:19","332","0.0","320","608","--","--","--","7,254","-10","Nej","00:45:05","1","--","--","--","00:45:04","00:45:05","24","89"
Löpning,2025-11-11 18:04:24,false,"Göteborg Löpning","13.56","1,047","01:26:53","151","187","4.0","118","240","6:24","2:54","226","217","1.27","8.5","10.3","281","6:09","348","0.0","259","809","--","--","--","10,878","--","Nej","00:00:45.6","17","15","15","15","01:10:06","01:26:53","48","119"
Löpning,2025-11-10 10:17:59,false,"Göteborg Löpning","7.82","538","00:42:22","145","164","3.0","155","188","5:25","3:31","159","127","1.19","8.6","10.2","277","5:12","346","0.0","320","635","--","--","--","6,566","-11","Nej","00:42:22","1","--","--","--","00:40:50","00:42:22","38","89"
Löpning,2025-11-09 19:01:06,false,"Göteborg Löpning","9.58","739","01:01:50","147","165","3.1","142","173","6:27","3:50","288","278","1.08","9.4","9.9","305","5:59","307","0.0","266","543","--","--","--","9,152","-12","Nej","01:01:50","1","--","--","--","00:59:48","01:01:50","14","101"
Löpning,2025-11-08 10:53:49,false,"Göteborg Löpning","14.74","1,053","01:26:41","147","179","3.7","140","194","5:53","3:18","446","431","1.22","8.4","10.2","273","5:22","373","0.0","299","628","--","--","--","12,296","-22","Nej","00:02:02.7","6","--","--","--","01:18:07","01:26:41","9","90"
Löpning,2025-11-07 18:22:00,false,"Göteborg Löpning","13.22","959","01:11:50","154","184","4.3","151","181","5:26","3:40","370","379","1.22","8.6","10.3","281","5:04","350","0.0","314","613","--","--","--","10,992","-12","Nej","00:17:45","3","--","--","--","01:09:52","01:11:50","2","85"
Löpning,2025-11-06 15:38:17,false,"Göteborg Löpning","10.18","723","01:06:08","135","170","3.0","144","183","6:30","3:07","262","237","1.08","9.3","9.6","297","6:03","309","0.0","269","562","--","--","--","9,714","-13","Nej","01:06:08","1","--","--","--","01:02:48","01:06:08","-9","103"
Löpning,2025-11-05 17:42:11,false,"Göteborg Löpning","11.94","1,049","01:38:46","138","179","3.5","110","245","8:16","3:12","432","412","1.01","9.4","9.3","313","7:31","282","0.0","205","575","--","--","--","12,004","-19","Nej","00:13:03","5","--","--","--","01:21:16","01:52:04","1","95"
Löpning,2025-11-03 18:47:06,false,"Göteborg Löpning","0.83","66","00:05:14.9","144","163","1.2","145","167","6:20","4:47","34","15","1.09","9.1","9.7","294","5:27","353","0.0","305","498","--","--","--","812","-1","Nej","00:05:14.9","1","--","--","--","00:05:11","00:05:14.9","38","67"
Löpning,2025-11-03 17:14:10,false,"Göteborg Löpning","0.83","66","00:05:04.4","143","154","1.4","156","169","6:08","4:13","47","17","1.10","9.2","9.9","296","5:03","375","0.0","351","478","--","--","--","788","--","Nej","00:05:04.4","1","--","--","--","00:05:04","00:05:04.4","49","90"
Löpning,2025-11-03 16:05:33,false,"Göteborg Löpning","8.71","602","00:52:12","136","158","2.8","145","175","6:00","3:37","176","179","1.16","8.9","10.3","287","5:46","324","0.0","289","556","--","--","--","7,570","-9","Nej","00:52:12","1","--","--","--","00:48:09","00:52:12","31","79"
Löpning,2025-11-02 11:17:11,false,"Norrköping Löpning","12.61","1,091","01:42:09","149","171","3.3","124","250","8:06","4:12","332","307","0.95","9.8","9.0","338","7:31","246","0.0","204","441","--","--","--","13,922","-22","Nej","01:42:09","1","--","--","--","01:38:13","01:42:09","20","73"
Löpning,2025-10-31 17:31:28,false,"Norrköping Löpning","7.69","575","00:54:10","144","187","3.6","90","192","7:03","2:33","137","117","1.56","7.0","10.2","239","6:48","378","0.0","221","740","--","--","--","5,118","-9","Nej","00:00:57.3","20","--","--","--","00:32:12","00:54:10","4","35"
Löpning,2025-10-30 18:35:48,false,"Norrköping Löpning","6.35","550","00:55:38","133","168","2.8","119","250","8:46","3:48","166","169","0.93","9.7","8.9","358","8:13","245","0.0","190","541","--","--","--","7,048","-8","Nej","00:55:38","1","--","--","--","00:50:30","00:55:38","13","64"
Löpning,2025-10-27 05:54:48,false,"Göteborg Löpning","1.25","109","00:15:26","106","146","0.8","71","176","12:20","3:41","42","46","1.03","8.9","8.9","292","12:25","254","0.0","129","495","--","--","--","1,132","-3","Nej","00:15:26","1","--","--","--","00:07:32","00:15:26","34","67"
Löpning,2025-10-26 18:31:07,false,"Göteborg Löpning","9.63","829","00:58:54","161","181","3.8","142","182","6:07","3:18","294","275","1.13","9.3","10.2","315","5:42","341","0.0","294","585","--","--","--","8,706","-10","Nej","00:15:01","3","--","--","--","00:58:22","00:58:54","27","83"
Löpning,2025-10-23 17:51:36,false,"Göteborg Löpning","8.93","673","01:02:57","138","161","2.8","132","246","7:03","2:09","255","252","1.08","9.3","9.8","296","6:34","310","0.0","256","779","--","--","--","8,456","-10","Nej","01:02:57","1","--","--","--","00:53:59","01:02:57","-4","92"
Löpning,2025-10-19 11:01:37,false,"Uddevalla Löpning","8.38","866","01:06:21","156","186","4.1","112","250","7:55","2:16","347","346","1.02","9.6","9.4","322","7:09","281","0.0","209","549","--","--","--","8,290","-12","Nej","01:06:21","1","--","--","--","00:57:24","01:06:23","20","149"
Löpning,2025-10-17 16:16:34,false,"Göteborg Löpning","13.92","1,008","01:17:30","145","168","3.4","154","224","5:34","2:53","372","349","1.18","8.6","10.1","278","5:09","347","0.0","315","700","--","--","--","12,016","-14","Nej","01:17:30","1","--","--","--","01:14:41","01:17:30","9","124"
Löpning,2025-10-15 17:22:40,false,"Göteborg Löpning","9.79","760","01:15:13","134","166","2.8","118","222","7:41","3:38","305","282","1.09","9.1","9.8","294","7:07","307","0.0","229","515","--","--","--","9,188","-11","Nej","01:15:13","1","--","--","--","00:58:34","01:15:13","4","100"
Löpning,2025-10-11 17:27:45,false,"Göteborg Löpning","15.16","1,083","01:35:58","141","158","3.1","147","244","6:20","3:37","442","416","1.08","9.3","9.8","301","5:49","308","0.0","284","540","--","--","--","14,466","-16","Nej","01:35:58","1","--","--","--","01:33:32","01:35:58","21","123"
Löpning,2025-10-10 15:58:41,false,"Göteborg Löpning","9.01","632","00:51:26","138","164","3.1","142","198","5:42","2:49","174","198","1.23","8.1","9.9","262","5:33","346","0.0","297","538","--","--","--","7,378","-10","Nej","00:51:26","1","--","--","--","00:44:29","00:51:26","26","86"
Löpning,2025-10-08 10:13:01,false,"Göteborg Löpning","12.72","895","01:14:52","142","157","3.0","155","244","5:53","4:00","309","303","1.10","8.9","9.7","283","5:34","317","0.0","297","496","--","--","--","11,636","-17","Nej","01:14:52","1","--","--","--","01:12:20","01:14:52","40","105"
Löpning,2025-10-07 17:57:45,false,"Göteborg Löpning","9.12","724","00:56:59","152","184","3.4","128","214","6:15","3:09","289","281","1.22","8.6","10.1","278","5:39","345","0.0","278","685","--","--","--","7,492","-11","Nej","00:00:20.0","12","--","--","--","00:48:11","00:56:59","28","84"
Löpning,2025-10-06 16:44:37,false,"Göteborg Löpning","7.54","501","00:39:16","143","157","2.6","161","177","5:12","4:06","139","134","1.19","8.6","10.2","278","5:03","334","0.0","328","464","--","--","--","6,306","-9","Nej","00:39:16","1","--","--","--","00:39:16","00:39:16","37","82"
Löpning,2025-10-05 11:18:51,false,"Kungälv Löpning","7.16","664","00:50:52","155","182","3.5","123","200","7:06","2:27","243","257","1.08","9.3","9.6","307","6:43","288","0.0","233","556","--","--","--","6,856","-12","Nej","00:50:52","1","--","--","--","00:46:05","00:50:52","13","83"
Löpning,2025-10-03 20:29:26,false,"Mölndal Löpning","11.78","1,261","01:33:04","162","183","4.1","117","250","7:54","3:04","469","450","1.02","9.5","9.2","328","7:12","268","0.0","207","571","--","--","--","12,528","-13","Nej","01:33:04","1","--","--","--","01:24:12","01:33:04","11","105"
Löpning,2025-10-03 08:01:57,false,"Göteborg Löpning","2.10","160","00:11:35","153","169","2.1","148","178","5:30","3:12","68","45","1.21","8.6","10.2","277","4:59","379","0.0","333","561","--","--","--","1,764","-3","Nej","00:11:35","1","--","--","--","00:11:20","00:11:35","43","76"
Löpning,2025-10-02 17:12:31,false,"Göteborg Löpning","14.25","1,008","01:30:23","134","160","3.0","149","231","6:21","3:43","428","421","1.06","9.1","9.6","290","5:48","313","0.0","281","535","--","--","--","13,690","-19","Nej","01:30:23","1","12","12","12","01:25:54","01:30:23","19","101"
Löpning,2025-10-01 17:20:21,false,"Göteborg - 6*2k + 4*400m","12.45","808","00:55:44","158","183","3.9","160","208","4:29","2:50","151","139","1.37","7.3","9.7","240","4:22","399","0.0","356","607","--","--","--","9,032","-13","Nej","00:00:00.7","17","--","--","--","00:55:13","00:55:44","-17","61"
Löpning,2025-09-30 17:50:46,false,"Göteborg Löpning","9.52","605","01:09:35","106","149","2.1","134","174","7:19","4:21","266","277","1.02","9.5","9.4","303","6:52","292","0.0","237","547","--","--","--","9,574","-9","Nej","01:09:35","1","--","--","--","01:01:48","01:09:35","23","88"
Löpning,2025-09-29 17:16:28,false,"Göteborg Löpning","18.29","1,272","02:01:05","129","163","3.2","133","177","6:37","3:21","435","402","1.13","8.9","10.0","287","6:14","318","0.0","265","580","--","--","--","16,314","-22","Nej","02:01:05","1","--","--","--","01:43:42","02:01:05","9","118"
Löpning,2025-09-28 18:02:33,false,"Göteborg Löpning","11.51","942","01:31:48","137","170","3.1","89","250","7:58","1:49","426","447","0.98","9.7","9.0","324","7:30","249","0.0","155","754","--","--","--","9,508","-13","Nej","00:05:14.4","7","--","--","--","01:14:31","01:31:48","32","113"
Löpning,2025-09-27 17:34:57,false,"Göteborg Löpning","11.87","818","01:06:13","142","159","3.0","154","222","5:35","3:52","147","145","1.17","8.7","10.1","280","5:26","312","0.0","299","448","--","--","--","10,294","-10","Nej","01:06:13","1","--","--","--","01:04:34","01:06:13","5","64"
Löpning,2025-09-27 11:09:47,false,"Göteborg Löpning","9.20","909","01:29:37","142","186","4.0","89","231","9:45","2:08","314","312","1.08","9.1","9.5","305","8:45","278","0.0","170","568","--","--","--","8,802","-16","Nej","01:29:37","1","--","--","--","00:59:47","01:29:37","50","116"
Löpning,2025-09-26 17:35:18,false,"Göteborg Löpning","14.19","980","01:19:44","143","162","3.2","155","185","5:37","3:30","323","324","1.16","9.0","10.2","288","5:17","324","0.0","310","506","--","--","--","12,326","-15","Nej","01:19:44","1","--","--","--","01:18:25","01:19:44","38","107"
Löpning,2025-09-25 09:04:19,false,"Göteborg Löpning","8.33","548","00:45:40","139","154","2.6","161","187","5:29","3:59","172","162","1.13","8.8","9.9","281","5:17","326","0.0","314","528","--","--","--","7,332","-12","Nej","00:45:40","1","--","--","--","00:45:39","00:45:40","26","86"
Löpning,2025-09-23 18:27:20,false,"Göteborg - 8*3 min + 6*400m","14.60","940","01:13:49","146","176","3.6","143","186","5:03","2:47","244","252","1.38","7.8","10.2","258","4:54","394","0.0","328","642","--","--","--","10,838","--","Nej","00:00:01.2","29","22","22","23","01:10:04","01:13:49","18","70"
Löpning,2025-09-22 19:36:49,false,"Göteborg Löpning","8.33","556","00:47:49","137","148","2.5","157","179","5:45","3:53","181","170","1.12","9.1","10.1","290","5:29","322","0.0","312","461","--","--","--","7,512","-8","Nej","00:47:49","1","--","--","--","00:47:40","00:47:49","30","89"
Löpning,2025-09-21 10:11:02,false,"Motala Löpning","14.61","1,337","01:43:33","160","182","4.4","121","212","7:05","2:38","233","232","1.09","9.3","9.9","318","6:56","288","0.0","225","557","--","--","--","13,542","-22","Nej","00:00:35.0","3","--","--","--","01:32:51","01:43:35","89","127"
Löpning,2025-09-19 20:32:45,false,"Linköping Löpning","10.99","1,119","01:26:51","157","187","4.5","111","185","7:54","2:50","315","314","1.06","9.5","9.8","324","7:29","272","0.0","205","579","--","--","--","10,716","-14","Nej","00:19:05","2","--","--","--","01:13:23","01:26:51","55","102"
Löpning,2025-09-18 19:45:06,false,"Norrköping Löpning","8.37","735","00:59:21","155","181","3.4","127","173","7:06","3:56","207","210","1.07","9.4","9.9","332","6:42","281","0.0","236","513","--","--","--","8,126","-10","Nej","00:02:30.6","2","--","--","--","00:56:14","00:59:21","25","65"
Löpning,2025-09-17 19:42:25,false,"Norrköping Löpning","13.48","991","01:27:44","143","182","3.9","116","231","6:30","3:24","276","287","1.32","8.4","10.8","281","6:18","342","0.0","259","568","--","--","--","10,420","-15","Nej","00:07:36.2","5","--","--","--","01:07:16","01:27:44","15","56"
Löpning,2025-09-16 18:43:21,false,"Norrköping Löpning","4.45","270","00:19:48","144","163","2.6","160","167","4:27","3:18","18","42","1.40","7.9","11.1","264","4:29","366","0.0","360","473","--","--","--","3,148","-5","Nej","00:19:48","1","--","--","--","00:19:47","00:19:48","9","35"
Cykling,2025-09-16 17:16:18,false,"Norrköping Cykling","11.41","549","01:08:58","123","166","2.3","--","--","9.9","31.3","182","151","--","--","--","--","--","--","0.0","--","--","--","--","--","--","-11","Nej","00:14:05","3","--","--","--","00:52:02","01:08:58","7","51"
Löpning,2025-09-15 18:15:55,false,"Norrköping Löpning","5.43","547","00:54:00","137","172","2.4","102","250","9:57","2:22","216","211","0.90","9.8","8.4","364","9:01","226","0.0","161","553","--","--","--","6,418","-6","Nej","00:24:23","2","--","--","--","00:46:28","00:54:00","74","114"
Löpning,2025-09-14 11:27:42,false,"Hallsberg Löpning","2.46","175","00:16:40","127","151","1.5","146","170","6:46","4:00","37","24","1.03","9.1","9.2","285","6:31","280","0.0","248","446","--","--","--","2,472","-4","Nej","00:16:40","1","--","--","--","00:15:32","00:16:40","166","186"
Löpning,2025-09-14 09:33:18,false,"Hallsberg Löpning","14.17","1,270","01:40:17","158","179","4.2","122","250","7:05","2:55","431","419","1.07","9.3","9.5","327","6:39","286","0.0","227","618","--","--","--","13,850","-24","Nej","01:40:17","1","--","--","--","01:34:20","01:40:17","90","199"
Löpning,2025-09-13 10:05:09,false,"Hallsberg Löpning","13.65","1,327","01:42:54","158","178","4.1","115","250","7:32","3:10","408","347","1.05","9.4","9.6","341","7:06","268","0.0","209","535","--","--","--","13,388","-24","Nej","01:42:54","1","--","--","--","01:34:31","01:42:54","114","192"
Löpning,2025-09-12 18:40:55,false,"Norrköping Löpning","9.44","584","00:50:20","136","147","2.7","150","177","5:20","4:04","91","90","1.24","8.8","10.8","289","5:15","332","0.0","318","459","--","--","--","7,624","-12","Nej","00:50:20","1","--","--","--","00:49:55","00:50:20","4","50"
Löpning,2025-09-11 17:59:41,false,"Göteborg Löpning","10.60","729","01:18:14","124","154","2.5","123","181","7:23","2:48","306","289","1.10","9.1","9.7","289","6:53","297","0.0","235","618","--","--","--","9,740","-14","Nej","01:18:14","1","--","--","--","01:01:45","01:18:14","1","85"
Löpning,2025-09-10 18:06:18,false,"Göteborg Löpning","7.10","717","00:54:34","162","184","3.5","103","250","7:41","2:49","301","304","1.08","9.3","9.7","318","6:40","304","0.0","208","702","--","--","--","6,946","-11","Nej","00:00:14.4","9","--","--","--","00:45:51","00:54:34","58","118"
Löpning,2025-09-09 10:33:10,false,"Göteborg Löpning","8.30","570","00:42:50","150","167","3.1","159","177","5:10","3:21","165","161","1.22","8.7","10.5","281","5:01","334","0.0","328","463","--","--","--","6,776","-10","Nej","00:42:50","1","--","--","--","00:42:50","00:42:50","41","85"
Löpning,2025-09-08 18:16:52,false,"Norrköping Löpning","8.90","801","00:58:09","161","177","3.6","137","247","6:32","3:54","224","227","1.10","9.2","10.0","323","6:15","297","0.0","261","501","--","--","--","8,366","-12","Nej","00:58:09","1","--","--","--","00:56:26","00:58:09","95","134"
Löpning,2025-09-07 10:30:07,false,"Nyköping Löpning","9.17","907","01:07:06","157","187","4.3","123","192","7:19","2:53","280","281","1.04","9.6","9.6","320","6:47","280","0.0","222","631","--","--","--","9,336","-15","Nej","01:07:06","1","--","--","--","01:02:17","01:07:06","46","112"
Löpning,2025-09-06 10:45:36,false,"Nyköping Löpning","7.48","825","01:01:22","161","191","4.3","97","231","8:12","2:49","257","261","1.06","9.4","9.6","318","7:36","252","0.0","176","611","--","--","--","7,656","-14","Nej","00:18:06","2","--","--","--","00:53:17","01:01:22","43","104"
Löpning,2025-09-04 18:29:31,false,"Göteborg Löpning","11.25","817","01:09:49","141","164","3.2","137","214","6:13","2:47","226","215","1.17","8.8","10.1","282","5:56","315","0.0","273","503","--","--","--","9,724","-11","Nej","01:09:49","1","--","--","--","01:01:47","01:12:21","-2","72"
Löpning,2025-08-31 10:38:22,false,"Norrköping Löpning","14.95","1,369","01:53:07","160","185","4.4","122","250","7:34","3:47","413","417","1.03","9.5","9.5","326","7:13","261","0.0","215","519","--","--","--","15,024","-19","Nej","00:16:29","2","--","--","--","01:42:44","01:53:07","71","116"
Löpning,2025-08-30 12:33:07,false,"Norrköping Löpning","6.59","587","00:41:39","166","190","3.7","134","181","6:19","3:32","145","158","1.16","8.9","10.1","298","6:04","303","0.0","260","485","--","--","--","5,764","-12","Nej","00:41:39","1","--","--","--","00:38:39","00:41:39","59","84"
Löpning,2025-08-29 19:25:56,false,"Göteborg Löpning","9.29","687","00:53:45","150","165","3.1","150","245","5:47","3:20","249","246","1.17","9.0","10.2","299","5:30","324","0.0","301","501","--","--","--","8,136","-10","Nej","00:53:45","1","--","--","--","00:52:48","00:53:45","38","99"
Löpning,2025-08-27 18:23:05,false,"Göteborg Löpning","12.26","869","01:07:40","151","185","3.6","138","184","5:31","2:54","341","330","1.29","8.3","10.3","271","5:05","361","0.0","306","563","--","--","--","9,604","--","Nej","00:01:29.9","9","--","--","--","01:01:07","01:07:40","31","84"
Löpning,2025-08-26 18:03:49,false,"Göteborg Löpning","7.44","475","00:38:33","141","156","2.8","156","177","5:11","4:06","103","119","1.24","8.6","10.6","282","5:07","330","0.0","321","492","--","--","--","6,050","-15","Nej","00:38:33","1","--","--","--","00:38:28","01:16:50","19","72"
Löpning,2025-08-24 10:42:55,false,"Söderköping Löpning","12.59","1,235","01:26:27","173","186","4.9","131","228","6:52","3:04","387","375","1.04","9.5","9.6","321","6:27","288","0.0","240","589","--","--","--","12,440","-21","Nej","01:26:27","1","--","--","--","01:24:10","01:26:27","43","98"
Löpning,2025-08-23 12:00:26,false,"Söderköping Löpning","7.78","801","01:24:35","136","182","3.4","86","245","10:52","3:36","248","249","0.97","9.7","8.9","331","10:15","240","0.0","143","588","--","--","--","8,320","-16","Nej","01:24:35","1","--","--","--","00:59:21","01:24:35","30","90"
Löpning,2025-08-22 11:19:11,false,"Göteborg Löpning","8.60","626","00:55:26","139","166","2.9","144","188","6:27","4:16","193","193","1.08","8.8","9.4","277","6:06","307","0.0","267","456","--","--","--","8,022","-8","Nej","00:55:26","1","--","--","--","00:49:27","00:55:26","18","78"
Löpning,2025-08-21 18:52:49,false,"Göteborg Löpning","14.11","990","01:27:46","137","154","3.2","150","245","6:13","3:36","416","399","1.07","9.1","9.6","294","5:41","312","0.0","287","606","--","--","--","13,478","-12","Nej","01:27:46","1","--","--","--","01:25:28","01:27:46","15","120"
Löpning,2025-08-20 18:50:32,false,"Göteborg Löpning","13.19","863","01:04:12","148","170","3.9","152","237","4:52","3:33","267","254","1.35","7.9","10.6","261","4:38","381","0.0","354","537","--","--","--","9,800","-14","Nej","01:04:12","1","--","--","--","01:00:29","01:04:12","0","112"
Löpning,2025-08-19 20:29:19,false,"Göteborg Löpning","10.19","738","01:13:21","129","155","2.7","140","240","7:12","3:35","327","320","1.00","9.5","9.3","302","6:34","288","0.0","252","532","--","--","--","10,522","-9","Nej","01:13:21","1","--","--","--","01:06:55","01:13:21","22","97"
Löpning,2025-08-18 18:57:14,false,"Göteborg Löpning","15.52","1,141","01:45:30","138","165","3.2","143","244","6:48","4:02","413","403","1.03","9.4","9.6","301","6:17","288","0.0","257","475","--","--","--","15,394","-18","Nej","01:45:30","1","--","--","--","01:39:10","01:45:30","22","114"
Löpning,2025-08-16 18:19:16,false,"Göteborg Löpning","9.00","621","00:52:23","141","162","2.8","151","240","5:49","3:49","216","201","1.14","8.9","10.0","291","5:34","329","0.0","303","523","--","--","--","7,944","-9","Nej","00:52:23","1","--","--","--","00:50:44","00:52:23","36","90"
Löpning,2025-08-14 18:45:17,false,"Norrköping Löpning","10.30","833","01:08:05","150","186","3.6","128","177","6:37","3:57","276","271","1.15","9.1","10.3","295","6:17","316","0.0","258","575","--","--","--","9,084","-11","Nej","00:01:59.8","9","--","--","--","00:59:22","01:08:06","29","65"
Löpning,2025-08-12 18:25:44,false,"Norrköping Löpning","10.41","908","01:21:40","147","176","3.5","116","222","7:51","2:49","350","345","1.03","9.5","9.5","321","7:14","272","0.0","211","537","--","--","--","10,334","-14","Nej","01:21:40","1","--","--","--","01:11:39","01:21:43","28","103"
Löpning,2025-08-11 18:43:58,false,"Norrköping Löpning","10.60","947","01:28:05","142","172","3.2","116","250","8:19","4:01","403","437","0.99","9.7","9.3","327","7:29","262","0.0","203","513","--","--","--","11,306","-16","Nej","00:08:08.8","3","--","--","--","01:16:53","01:28:05","40","114"
Löpning,2025-08-10 19:17:11,false,"Norrköping Löpning","9.08","578","00:50:46","135","151","2.5","153","169","5:35","4:05","89","88","1.17","8.9","10.4","290","5:30","315","0.0","303","472","--","--","--","7,802","-8","Nej","00:50:46","1","--","--","--","00:50:11","00:50:46","3","45"
Löpning,2025-08-09 10:46:25,false,"Norrköping Löpning","17.83","1,223","01:50:48","138","167","3.2","152","231","6:13","2:01","587","582","1.06","9.2","9.6","291","6:04","288","0.0","271","1,005","--","--","--","16,870","-23","Nej","01:50:48","1","--","--","--","01:48:27","01:50:48","-295","64"
Löpning,2025-08-08 19:14:16,false,"Norrköping Löpning","13.88","932","01:17:27","142","154","3.1","158","169","5:35","4:33","163","158","1.13","9.0","10.2","288","5:31","306","0.0","302","450","--","--","--","12,188","-12","Nej","01:17:27","1","--","--","--","01:17:27","01:17:27","34","59"
Löpning,2025-08-07 18:25:44,false,"Linköping Löpning","6.32","672","00:46:07","168","184","3.9","114","250","7:18","2:54","187","216","1.06","9.5","9.9","328","6:53","262","0.0","210","586","--","--","--","6,124","-8","Nej","00:07:00.5","2","--","--","--","00:41:33","00:46:07","68","131"
Löpning,2025-08-06 18:28:22,false,"Norrköping Löpning","9.09","614","00:44:13","153","169","3.4","156","211","4:52","3:43","88","92","1.32","8.4","11.0","278","4:48","353","0.0","348","462","--","--","--","6,882","-8","Nej","00:44:13","1","--","--","--","00:44:12","00:44:13","-2","40"
