Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Medelvärde GAP,Medelcykelkadens,Maximal cykelkadens,Normalized Power® (NP®),Training Stress Score®,Med. kraft,Maxkraft,Intensitet,Flöde,Totalt antal årtag,Steg,Totalt antal repetitioner,Totalt antal set,Urladdning av Body Battery,Minsta temperatur,Dekompression,Bästa varvtid,Antal varv,Maximal temperatur,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Färdtid,Total tid,Min. höjd,Max. höjd
Längdskidåkning klassisk stil,2026-02-19 17:04:12,false,"Trollhättan Längdskidåkning klassisk stil","30.70","1,293","01:54:25","130","151","3.4","--","--","16.1","38.0","688","677","--","--","--","--","--","--","--","--","209","574.9","190","559","--","--","--","8,946","--","--","-15","2.0","Nej","00:00:03.2","7","15.0","32","19","44","01:53:13","02:00:38","79","106"
Längdskidåkning klassisk stil,2026-02-18 17:34:56,false,"Ale Längdskidåkning klassisk stil","12.77","585","00:51:57","125","149","2.7","--","--","14.7","28.6","170","162","--","--","--","--","--","--","--","--","204","247.1","182","543","--","--","--","4,304","--","--","-7","5.0","Nej","00:11:18","3","19.0","31","15","41","00:50:19","00:51:57","64","80"
Styrketräning,2026-02-18 06:36:05,false,"Styrka","0.00","324","00:52:45","94","199","2.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","36","18","1","-8","--","Nej","00:52:45","1","--","--","--","--","00:52:45","00:52:45","--","--"
Löpning,2026-02-17 11:02:37,false,"Göteborg Löpning","10.07","747","00:52:20","134","158","3.8","163","182","5:12","3:57","134","127","1.18","8.1","9.5","261","--","5:05","--","--","396","0.0","382","628","--","--","--","8,588","--","--","-12","--","Nej","00:00:03.5","3","--","--","--","--","00:51:40","00:56:09","39","93"
Längdskidåkning klassisk stil,2026-02-17 07:13:08,false,"Längdskidåkning klassisk stil","0.00","169","00:16:39","113","160","1.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,612","--","--","-3","--","Nej","00:16:39","1","--","--","--","--","00:00:00","00:16:39","27","31"
Inomhuscykling,2026-02-17 06:59:07,false,"Inomhuscykling","1.68","128","00:10:03","121","131","1.7","--","--","10.0","30.4","--","--","--","--","--","--","--","--","73","89","211","2.9","190","257","--","--","266","--","--","--","-2","--","Nej","00:10:03","1","--","--","--","--","00:03:50","00:10:03","--","--"
Crosstrainer,2026-02-17 06:41:40,false,"Crosstrainer","0.00","145","00:15:09","109","130","1.2","128","145","--","--","--","--","0.00","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,984","--","--","-4","--","Nej","00:15:09","1","--","--","--","--","00:00:00","00:15:09","--","--"
Gym- och träningsredskap,2026-02-16 19:10:00,false,"v10:00/r...22 SkiErg","11.69","599","00:55:00","135","149","2.9","98","286","12.7","15.9","--","--","1.85","--","--","--","--","--","--","--","165","0.0","124","242","--","--","--","5,176","--","--","--","--","Nej","00:00:00","43","--","--","--","--","00:54:05","00:55:00","--","--"
Styrketräning,2026-02-16 06:30:49,false,"Styrka","0.00","268","00:39:08","99","163","1.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","8","4","1","-7","--","Nej","00:39:08","1","--","--","--","--","00:39:08","00:39:08","--","--"
Terränglöpning,2026-02-15 10:36:18,false,"Ale Terränglöpning","9.03","722","00:53:32","136","152","3.4","158","246","5:56","4:20","151","208","1.06","9.1","9.7","289","50.0% vänster/50.0% höger","5:46","--","--","367","0.0","349","620","--","--","--","8,348","--","--","-11","--","Nej","00:00:39.5","2","--","33","19","45","00:53:10","00:53:32","3","123"
Längdskidåkning klassisk stil,2026-02-15 09:24:45,false,"Ale Längdskidåkning klassisk stil","10.56","551","01:03:14","111","146","2.2","--","--","10.0","27.3","110","103","--","--","--","--","--","--","--","--","173","215.8","121","537","--","--","--","4,402","--","--","-8","6.0","Nej","00:23:42","2","19.0","27","11","37","00:48:08","01:03:14","63","83"
Längdskidåkning klassisk stil,2026-02-14 14:38:13,false,"Trollhättan Längdskidåkning klassisk stil","36.66","1,531","02:17:03","133","155","3.9","--","--","16.0","38.7","835","812","--","--","--","--","--","--","--","--","207","675.0","191","551","--","--","--","10,910","--","--","-18","-3.0","Nej","00:00:00.8","10","18.0","33","16","46","02:16:45","02:39:37","79","109"
Längdskidåkning klassisk stil,2026-02-13 17:16:48,false,"Ale Längdskidåkning klassisk stil","25.26","539","01:46:09","86","150","2.2","--","--","14.3","103.0","229","282","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","4,468","--","--","-5","19.0","Nej","01:46:09","1","35.0","--","--","--","01:21:08","01:46:09","-6","104"
Gym- och träningsredskap,2026-02-13 11:10:55,false,"6000m SkiErg","6.00","365","00:26:04","131","151","2.9","96","190","13.8","15.4","--","--","2.39","--","--","--","--","--","--","--","171","0.0","158","221","--","--","--","2,524","--","--","--","--","Nej","00:04:10.9","6","--","--","--","--","00:25:52","00:26:04","--","--"
Gym- och träningsredskap,2026-02-12 06:53:11,false,"5x1000m/1:00r SkiErg","5.86","296","00:27:26","116","124","1.3","96","196","12.8","14.4","--","--","1.87","--","--","--","--","--","--","--","147","0.0","126","178","--","--","--","2,210","--","--","--","--","Nej","00:01:00","10","--","--","--","--","00:26:12","00:27:26","--","--"
Längdskidåkning klassisk stil,2026-02-11 17:22:24,false,"Trollhättan Längdskidåkning klassisk stil","31.46","1,330","02:06:06","131","151","3.6","--","--","15.0","36.8","665","663","--","--","--","--","--","--","--","--","199","573.2","181","550","--","--","--","9,880","--","--","-15","4.0","Nej","02:06:06","1","14.0","32","19","45","02:03:18","02:06:06","81","105"
Längdskidåkning klassisk stil,2026-02-10 16:12:36,false,"Ale Längdskidåkning klassisk stil","13.71","646","01:10:06","117","145","2.3","--","--","11.7","29.4","172","162","--","--","--","--","--","--","--","--","152","186.0","127","458","--","--","--","5,532","--","--","-6","8.0","Nej","01:10:06","1","22.0","28","14","39","01:04:55","01:14:35","67","103"
Styrketräning,2026-02-10 06:17:42,false,"Styrka","0.00","363","01:03:44","92","158","1.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","22","11","1","-10","--","Nej","01:03:44","1","--","--","--","--","01:03:44","01:03:44","--","--"
Längdskidåkning klassisk stil,2026-02-08 07:48:47,false,"Trollhättan Längdskidåkning klassisk stil","31.50","1,386","02:16:12","128","148","3.5","--","--","13.9","35.8","591","590","--","--","--","--","--","--","--","--","197","610.1","175","524","--","--","--","12,506","--","--","-21","6.0","Nej","00:47:41","2","18.0","31","19","42","02:10:52","02:20:11","81","109"
Löpning,2026-02-07 07:45:35,false,"Kungälv Löpning","18.10","1,362","01:43:47","134","151","3.6","163","193","5:44","4:46","118","118","1.08","8.8","9.6","284","50.0% vänster/50.0% höger","5:41","--","--","354","0.0","350","520","--","--","--","16,726","--","--","-24","--","Nej","01:43:47","1","--","32","18","47","01:43:37","01:54:10","3","36"
Gym- och träningsredskap,2026-02-06 11:15:38,false,"6x3:00/2:00r SkiErg","6.52","278","00:30:00","146","159","2.6","98","298","13.0","15.7","--","--","1.46","--","--","--","--","--","--","--","198","0.0","133","233","--","--","--","1,772","--","--","--","--","Nej","00:02:00","12","--","--","--","--","00:27:44","00:30:00","--","--"
Styrketräning,2026-02-06 06:05:21,false,"Styrka","0.00","428","00:55:46","105","190","2.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","8","4","1","-10","--","Nej","00:55:46","1","--","--","--","--","00:55:46","00:55:46","--","--"
Inomhuscykling,2026-02-05 06:32:43,false,"Inomhuscykling","0.00","608","00:48:16","134","153","3.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-11","--","Nej","00:48:16","1","--","--","--","--","00:00:00","00:48:16","--","--"
Gym- och träningsredskap,2026-02-04 17:29:21,false,"6x5:00/2:00r SkiErg","8.65","407","00:42:00","123","135","2.1","96","250","12.4","15.1","--","--","1.65","--","--","--","--","--","--","--","160","0.0","113","205","--","--","--","2,914","--","--","--","--","Nej","00:02:00","12","--","--","--","--","00:39:04","00:42:00","--","--"
