Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Medelvärde GAP,Medelcykelkadens,Maximal cykelkadens,Normalized Power® (NP®),Training Stress Score®,Med. kraft,Maxkraft,Intensitet,Flöde,Totalt antal årtag,Steg,Totalt antal repetitioner,Totalt antal set,Urladdning av Body Battery,Minsta temperatur,Dekompression,Bästa varvtid,Antal varv,Maximal temperatur,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Färdtid,Total tid,Min. höjd,Max. höjd
Terränglöpning,2026-01-02 10:04:18,false,"Kungälv Terränglöpning","9.26","797","00:58:50","143","164","3.6","153","228","6:21","4:46","250","237","1.02","8.6","8.7","278","--","6:00","--","--","353","0.0","321","546","--","--","--","9,130","--","--","-14","--","Nej","00:01:45.6","3","--","--","--","--","00:57:54","00:59:05","14","69"
Gym- och träningsredskap,2026-01-01 09:18:38,false,"6x10:00/2:00r SkiErg","15.72","851","01:12:00","149","160","3.9","116","160","13.1","15.0","--","--","1.65","--","--","--","--","--","--","--","165","0.0","135","205","--","--","--","6,982","--","--","--","--","Nej","00:02:00","12","--","--","--","--","01:09:40","01:12:00","--","--"
Terränglöpning,2025-12-31 09:59:03,false,"Kungälv Terränglöpning","8.03","683","00:53:27","137","161","3.3","149","207","6:39","4:33","197","167","1.01","9.8","9.8","294","50.4% vänster/49.6% höger","6:13","--","--","358","0.0","327","560","--","--","--","7,884","--","--","-14","--","Nej","00:53:27","1","--","34","18","48","00:51:29","00:53:27","16","90"
Längdskidåkning klassisk stil,2025-12-30 09:30:19,false,"Borås Längdskidåkning klassisk stil","20.53","860","01:27:38","126","171","3.1","--","--","14.1","27.8","215","218","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","9,444","--","--","-14","14.0","Nej","01:27:38","1","21.0","--","--","--","01:24:25","01:27:38","238","254"
Styrketräning,2025-12-29 08:41:33,false,"Styrka","0.00","320","00:52:25","97","148","1.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","122","61","1","-8","--","Nej","00:52:25","1","--","--","--","--","00:52:25","00:52:25","--","--"
Gym- och träningsredskap,2025-12-28 21:04:00,false,"30:00 SkiErg","6.48","379","00:30:00","123","153","2.6","96","234","13.0","15.7","--","--","2.26","--","--","--","--","--","--","--","156","0.0","131","233","--","--","--","2,884","--","--","--","--","Nej","00:06:00","5","--","--","--","--","00:29:59","00:30:00","--","--"
Gym- och träningsredskap,2025-12-27 15:25:48,false,"v5:00/1:00r...10 SkiErg","8.56","366","00:43:11","150","161","3.2","104","432","11.9","15.5","--","--","1.30","--","--","--","--","--","--","--","164","0.0","101","225","--","--","--","3,962","--","--","--","--","Nej","00:01:00","19","--","--","--","--","00:39:28","00:43:11","--","--"
Terränglöpning,2025-12-27 13:55:13,false,"Kungälv Terränglöpning","7.41","605","00:56:25","117","155","2.6","151","233","7:37","4:35","193","182","0.87","10.2","8.9","306","49.5% vänster/50.5% höger","7:03","--","--","317","0.0","292","560","--","--","--","8,392","--","--","-8","--","Nej","00:56:25","1","--","30","19","41","00:54:55","00:58:48","15","77"
Styrketräning,2025-12-27 09:38:41,false,"Styrka","0.00","368","01:06:59","91","153","1.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","10","5","1","-7","--","Nej","01:06:59","1","--","--","--","--","01:06:59","01:06:59","--","--"
Gym- och träningsredskap,2025-12-26 16:11:00,false,"15:00 SkiErg","3.10","172","00:15:00","123","129","1.6","106","252","12.4","13.9","--","--","1.94","--","--","--","--","--","--","--","127","0.0","114","160","--","--","--","1,598","--","--","--","--","Nej","00:03:00","5","--","--","--","--","00:15:00","00:15:00","--","--"
Mountainbike,2025-12-26 12:44:42,false,"Kungälv Mountainbike","8.56","346","00:55:15","94","172","2.2","--","--","9.3","31.1","148","138","--","--","--","--","--","--","--","--","--","0.0","--","--","15.4","4.5","--","--","--","--","-6","--","Nej","00:55:15","1","--","--","--","--","00:35:48","00:55:15","1","73"
Terränglöpning,2025-12-25 11:24:11,false,"Kungälv Terränglöpning","6.06","500","00:37:12","134","159","2.9","154","181","6:08","4:01","149","133","1.04","8.8","9.1","280","--","5:44","--","--","367","0.0","339","584","--","--","--","5,838","--","--","-13","--","Nej","00:07:42.8","2","--","--","--","--","00:36:56","01:16:58","17","84"
Längdskidåkning klassisk stil,2025-12-23 07:11:19,false,"Ringsaker Längdskidåkning klassisk stil","7.58","345","00:34:33","116","136","2.1","--","--","13.2","28.9","94","90","--","--","--","--","--","--","--","--","150","89.2","127","466","--","--","--","4,678","--","--","-7","1.0","Nej","00:02:00.0","3","10.0","28","17","36","00:32:46","00:34:33","857","883"
Längdskidåkning klassisk stil,2025-12-22 10:21:44,false,"Ringsaker Längdskidåkning klassisk stil","51.16","2,163","03:35:04","129","156","4.1","--","--","14.3","45.2","762","750","--","--","--","--","--","--","--","--","161","641.2","142","503","--","--","--","22,096","--","--","-35","-1.0","Nej","00:33:14","3","15.0","30","17","43","03:25:53","03:47:19","849","991"
Längdskidåkning klassisk stil,2025-12-21 16:49:58,false,"Ringsaker Längdskidåkning klassisk stil","8.15","388","00:39:36","118","143","2.3","--","--","12.4","34.1","104","103","--","--","--","--","--","--","--","--","144","94.0","116","480","--","--","--","2,910","--","--","-3","6.0","Nej","00:00:24.4","3","11.0","28","17","41","00:34:12","00:39:36","855","884"
Längdskidåkning klassisk stil,2025-12-21 15:52:34,false,"Ringsaker Längdskidåkning klassisk stil","12.05","572","00:53:45","124","144","2.8","--","--","13.4","28.3","154","152","--","--","--","--","--","--","--","--","158","153.8","126","478","--","--","--","4,216","--","--","-6","8.0","Nej","00:00:31.5","8","18.0","29","19","38","00:45:52","00:53:52","868","886"
Längdskidåkning klassisk stil,2025-12-21 09:03:54,false,"Ringsaker Längdskidåkning klassisk stil","50.85","2,243","03:34:22","132","159","4.5","--","--","14.2","41.9","694","687","--","--","--","--","--","--","--","--","152","574.8","132","496","--","--","--","23,350","--","--","-33","3.0","Nej","01:38:06","2","17.0","32","20","45","03:26:33","03:46:36","847","962"
Längdskidåkning klassisk stil,2025-12-20 11:05:11,false,"Ringsaker Längdskidåkning klassisk stil","50.78","2,480","03:30:12","143","166","5.0","--","--","14.5","45.9","703","700","--","--","--","--","--","--","--","--","171","707.4","146","532","--","--","--","19,924","--","--","-31","9.0","Nej","01:37:53","2","19.0","37","22","61","03:24:10","03:35:27","852","952"
Styrketräning,2025-12-19 06:15:43,false,"Styrka","0.00","223","00:43:58","86","127","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","62","31","1","-6","--","Nej","00:43:58","1","--","--","--","--","00:43:58","00:43:58","--","--"
Styrketräning,2025-12-17 06:29:58,false,"Styrka","0.00","259","00:33:59","103","146","1.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","8","4","1","-6","--","Nej","00:33:59","1","--","--","--","--","00:33:59","00:33:59","--","--"
Terränglöpning,2025-12-16 11:18:05,false,"Göteborg Terränglöpning","4.70","365","00:23:46","143","156","3.2","162","171","5:03","4:29","57","53","1.20","8.1","9.7","265","--","5:03","--","--","397","0.0","389","553","--","--","--","3,910","--","--","-6","--","Nej","00:23:46","1","--","--","--","--","00:23:40","00:23:46","45","85"
Styrketräning,2025-12-15 06:22:49,false,"Styrka","0.00","285","00:44:15","96","144","1.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","14","7","1","-8","--","Nej","00:44:15","1","--","--","--","--","00:44:15","00:44:15","--","--"
Styrketräning,2025-12-14 08:32:37,false,"Styrka","0.00","273","00:50:03","89","130","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","50","25","1","-5","--","Nej","00:50:03","1","--","--","--","--","00:50:03","00:50:03","--","--"
Löpband,2025-12-14 08:15:41,false,"Löpband","2.38","126","00:16:19","97","120","0.9","136","165","6:51","4:50","--","--","1.06","7.8","8.3","274","--","--","--","--","317","0.0","254","408","--","--","--","2,230","--","--","-3","--","Nej","00:02:40.3","3","--","--","--","--","00:15:40","00:16:19","--","--"
Gym- och träningsredskap,2025-12-13 11:07:47,false,"1:00:00 SkiErg","13.08","766","01:00:00","149","161","4.7","108","320","13.1","14.7","--","--","2.00","--","--","--","--","--","--","--","145","0.0","134","190","--","--","--","6,570","--","--","--","--","Nej","00:12:00","5","--","--","--","--","01:00:00","01:00:00","--","--"
Skridskoåkning,2025-12-12 17:49:20,false,"Skridskoåkning","0.00","166","00:12:10","131","146","2.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,134","--","--","-2","--","Nej","00:12:10","1","--","36","25","48","00:00:00","00:12:10","--","--"
Crosstrainer,2025-12-12 17:22:21,false,"Crosstrainer","0.00","338","00:26:25","126","146","2.8","119","139","--","--","--","--","0.00","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","3,286","--","--","-5","--","Nej","00:00:01.1","4","--","32","15","39","00:00:00","00:26:25","--","--"
Gym- och träningsredskap,2025-12-11 07:05:00,false,"20:00 SkiErg","4.16","232","00:20:00","124","142","2.2","110","424","12.5","13.9","--","--","1.88","--","--","--","--","--","--","--","123","0.0","117","160","--","--","--","2,220","--","--","--","--","Nej","00:04:00","5","--","--","--","--","00:20:00","00:20:00","--","--"
Gym- och träningsredskap,2025-12-09 18:59:00,false,"20:00 SkiErg","3.69","192","00:20:00","137","142","2.6","108","484","11.1","11.8","--","--","1.71","--","--","--","--","--","--","--","84","0.0","82","100","--","--","--","2,166","--","--","--","--","Nej","00:04:00","5","--","--","--","--","00:20:00","00:20:00","--","--"
Vandring,2025-12-06 14:25:08,false,"Kungälv Vandring","6.33","479","00:56:00","110","158","2.4","99","226","8:51","5:24","176","166","1.14","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","6,312","--","--","-6","--","Nej","00:56:00","1","--","--","--","--","00:53:16","00:56:00","14","81"
Styrketräning,2025-12-01 06:38:15,false,"Styrka","0.00","190","00:45:15","78","132","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","148","74","1","-5","--","Nej","00:45:15","1","--","--","--","--","00:45:15","00:45:15","--","--"
Längdskidåkning klassisk stil,2025-11-29 08:16:36,false,"Längdskidåkning klassisk stil","0.00","1,425","01:47:21","141","160","4.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","11,534","--","--","-25","6.0","Nej","00:09:54.0","5","21.0","35","17","43","00:00:00","02:07:14","-23","6"
Styrketräning,2025-11-28 06:17:20,false,"Styrka","0.00","279","00:48:05","89","133","1.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","182","91","1","-7","--","Nej","00:48:05","1","--","--","--","--","00:48:05","00:48:05","--","--"
Styrketräning,2025-11-26 06:09:09,false,"Styrka","0.00","306","00:52:50","92","129","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","124","62","1","-7","--","Nej","00:52:50","1","--","--","--","--","00:52:50","00:52:50","--","--"
Gym- och träningsredskap,2025-11-25 18:39:45,false,"5000m SkiErg","5.00","311","00:21:15","--","--","--","114","140","14.1","14.7","--","--","2.05","--","--","--","--","--","--","--","171","0.0","169","189","--","--","--","2,404","--","--","--","--","Nej","00:04:08.6","5","--","--","--","--","00:21:14","00:21:15","--","--"
Löpband,2025-11-25 17:52:02,false,"Löpband","6.68","545","00:41:41","131","163","3.2","148","231","6:14","3:31","--","--","1.08","8.0","8.6","270","--","--","--","--","327","0.0","286","542","--","--","--","6,148","--","--","-7","--","Nej","00:01:03.0","8","--","--","--","--","00:40:54","00:41:41","--","--"
Styrketräning,2025-11-24 06:57:47,false,"Styrka","0.00","219","00:35:16","92","134","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","114","57","1","-5","--","Nej","00:35:16","1","--","--","--","--","00:35:16","00:35:16","--","--"
Längdskidåkning fristil,2025-11-23 10:19:15,false,"Kungälv Längdskidåkning fristil","47.24","2,880","03:25:22","147","169","5.0","--","--","13.8","37.1","477","434","--","--","--","--","--","--","--","--","160","608.9","143","512","--","--","--","23,210","--","--","-35","12.0","Nej","00:23:35","5","19.0","36","19","48","03:23:36","03:49:05","2","125"
Längdskidåkning klassisk stil,2025-11-22 16:01:22,false,"Längdskidåkning klassisk stil","0.00","331","00:35:11","115","153","2.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,964","--","--","-4","--","Nej","00:35:11","1","--","34","19","50","00:00:00","00:35:11","16","21"
Vandring,2025-11-22 15:15:01,false,"Kungälv Vandring","2.52","276","00:31:44","108","144","1.9","82","221","12:37","5:46","126","118","0.97","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,888","--","--","-4","--","Nej","00:31:44","1","--","--","--","--","00:24:50","00:31:44","10","62"
Styrketräning,2025-11-21 06:31:15,false,"Styrka","0.00","175","00:29:13","91","145","0.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","144","72","1","-5","--","Nej","00:29:13","1","--","--","--","--","00:29:13","00:29:13","--","--"
Landsvägscykling,2025-11-20 06:31:35,false,"Landsvägscykling","0.00","665","00:42:26","148","165","4.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-11","23.0","Nej","00:42:26","1","29.0","--","--","--","00:00:00","00:42:26","-35","-13"
Längdskidåkning klassisk stil,2025-11-18 16:59:37,false,"Längdskidåkning klassisk stil","0.00","1,318","01:48:40","134","160","4.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","9,158","--","--","-16","8.0","Nej","00:05:07.1","4","23.0","34","11","50","00:00:00","02:02:05","0","24"
Styrketräning,2025-11-18 05:46:28,false,"Styrka","0.00","264","00:53:16","85","126","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","204","102","1","-8","--","Nej","00:53:16","1","--","--","--","--","00:53:16","01:05:20","--","--"
Längdskidåkning fristil,2025-11-15 14:11:55,false,"Kungälv Längdskidåkning fristil","26.18","1,241","02:02:19","128","154","3.2","--","--","12.8","31.3","143","140","--","--","--","--","--","--","--","--","138","269.9","119","486","--","--","--","13,524","--","--","-14","9.0","Nej","01:00:06","2","22.0","30","18","39","01:57:57","02:02:19","1","39"
Gym- och träningsredskap,2025-11-14 17:27:00,false,"40:00 SkiErg","8.78","513","00:40:00","132","147","3.0","114","444","13.2","14.5","--","--","1.92","--","--","--","--","--","--","--","144","0.0","137","183","--","--","--","4,598","--","--","--","--","Nej","00:08:00","5","--","--","--","--","00:39:55","00:40:00","--","--"
Styrketräning,2025-11-14 06:21:42,false,"Styrka","0.00","287","00:56:44","86","146","0.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","18","9","1","-8","--","Nej","00:56:44","1","--","--","--","--","00:56:44","00:56:44","--","--"
Gym- och träningsredskap,2025-11-13 16:33:16,false,"2x2000m/1:00r SkiErg","2.74","142","01:17:47","24","109","0.3","92","422","2.1","12.7","--","--","0.50","--","--","--","--","--","--","--","96","0.0","1","123","--","--","--","1,518","--","--","--","--","Nej","00:01:00","3","--","--","--","--","00:22:06","01:17:47","--","--"
Styrketräning,2025-11-13 06:11:49,false,"Styrka","0.00","286","00:50:45","90","146","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","182","91","1","-8","--","Nej","00:50:45","1","--","--","--","--","00:50:45","00:50:45","--","--"
Styrketräning,2025-11-11 06:19:49,false,"Styrka","0.00","212","00:37:23","90","127","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","248","124","1","-6","--","Nej","00:37:23","1","--","--","--","--","00:37:23","00:37:23","--","--"
Styrketräning,2025-11-10 17:53:08,false,"Styrka","0.00","253","00:55:23","82","129","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","10","5","1","-4","--","Nej","00:55:23","1","--","--","--","--","00:55:23","00:55:23","--","--"
Löpband,2025-11-10 06:54:07,false,"Löpband","4.69","346","00:41:53","107","138","2.4","106","180","8:56","4:32","--","--","1.09","8.0","8.5","265","--","--","--","--","310","0.0","200","424","--","--","--","4,328","--","--","-6","--","Nej","00:04:48.0","5","--","--","--","--","00:27:50","00:41:53","--","--"
Styrketräning,2025-11-10 06:40:12,false,"Styrka","0.00","91","00:13:20","93","121","0.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","14","7","1","-2","--","Nej","00:13:20","1","--","--","--","--","00:13:20","00:13:20","--","--"
Gym- och träningsredskap,2025-11-09 18:25:00,false,"v10:00/r...22 SkiErg","11.58","593","00:55:00","145","156","3.3","120","504","12.6","16.0","--","--","1.50","--","--","--","--","--","--","--","151","0.0","121","247","--","--","--","7,182","--","--","--","--","Nej","00:00:00","43","--","--","--","--","00:54:30","00:55:00","--","--"
Mountainbike,2025-11-09 13:38:11,false,"Kungälv Mountainbike","21.84","383","01:04:25","91","131","0.6","--","--","20.3","38.9","167","158","--","--","--","--","--","--","61","107","--","0.0","--","--","16.1","2.5","3502","--","--","--","-8","--","Nej","01:04:25","1","--","--","--","--","01:03:20","01:38:13","--","35"
Längdskidåkning fristil,2025-11-07 15:13:48,false,"Ale Längdskidåkning fristil","26.12","1,170","01:50:31","130","159","3.5","--","--","14.2","27.1","140","138","--","--","--","--","--","--","--","--","146","269.5","137","352","--","--","--","14,788","--","--","-13","15.0","Nej","00:54:54","2","25.0","30","14","44","01:50:14","01:52:25","2","70"
Styrketräning,2025-11-07 06:41:58,false,"Styrka","0.00","245","00:43:55","90","133","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","104","52","1","-7","--","Nej","00:43:55","1","--","--","--","--","00:43:55","00:43:55","--","--"
Löpband,2025-11-05 06:46:45,false,"Löpband","3.17","215","00:23:13","106","134","1.9","138","228","7:20","4:31","--","--","0.99","8.0","7.9","279","--","--","--","--","290","0.0","235","434","--","--","--","3,218","--","--","-4","--","Nej","00:01:50.1","4","--","--","--","--","00:22:30","00:23:13","--","--"
Styrketräning,2025-11-05 06:32:14,false,"Styrka","0.00","80","00:13:33","88","137","0.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","130","65","1","-2","--","Nej","00:13:33","1","--","--","--","--","00:13:25","00:13:33","--","--"
Längdskidåkning fristil,2025-11-04 17:50:15,false,"Kungälv Längdskidåkning fristil","20.68","1,101","01:54:44","119","160","3.1","--","--","10.8","25.2","121","130","--","--","--","--","--","--","--","--","152","304.9","112","547","--","--","--","10,174","--","--","-16","17.0","Nej","00:20:06","2","24.0","28","12","41","01:30:49","02:12:37","0","22"
Styrketräning,2025-11-04 06:29:48,false,"Styrka","0.00","339","00:55:34","93","148","1.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","154","77","1","-9","--","Nej","00:55:34","1","--","--","--","--","00:55:34","00:55:34","--","--"
Gym- och träningsredskap,2025-11-03 11:21:57,false,"v5:00/r...17 SkiErg","10.03","476","00:48:03","148","161","3.5","108","420","12.5","16.9","--","--","1.43","--","--","--","--","--","--","--","179","0.0","118","291","--","--","--","4,982","--","--","--","--","Nej","00:00:00","33","--","--","--","--","00:45:24","00:48:03","--","--"
Löpband,2025-11-03 06:59:19,false,"Löpband","4.59","358","00:25:10","136","160","3.0","159","173","5:29","4:33","--","--","1.14","8.3","9.4","270","--","--","--","--","354","0.0","338","433","--","--","--","4,012","--","--","-6","--","Nej","00:03:43.3","5","--","--","--","--","00:25:02","00:25:10","--","--"
Styrketräning,2025-11-03 06:21:14,false,"Styrka","0.00","325","00:37:32","110","171","2.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","6","3","1","-6","--","Nej","00:37:32","1","--","--","--","--","00:37:32","00:37:32","--","--"
Längdskidåkning fristil,2025-11-02 10:27:09,false,"Kungälv Längdskidåkning fristil","41.85","2,239","02:52:09","144","161","5.0","--","--","14.6","26.6","203","204","--","--","--","--","--","--","--","--","139","383.3","126","502","--","--","--","19,570","--","--","-32","17.0","Nej","00:30:27","3","25.0","36","13","47","02:48:39","03:08:10","4","41"
Styrketräning,2025-10-31 06:08:02,false,"Styrka","0.00","329","01:00:31","89","133","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","110","55","1","-7","--","Nej","01:00:31","1","--","--","--","--","01:00:31","01:00:31","--","--"
Mountainbike,2025-10-30 06:36:31,false,"Mountainbike","0.00","634","00:38:16","156","164","4.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-12","--","Nej","00:38:16","1","--","--","--","--","00:00:00","00:38:16","-17","-8"
Styrketräning,2025-10-30 06:00:10,false,"Styrka","0.00","230","00:24:37","111","143","1.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","8","4","1","-5","--","Nej","00:24:37","1","--","--","--","--","00:11:40","00:24:37","--","--"
Längdskidåkning fristil,2025-10-28 17:10:58,false,"Kungälv Längdskidåkning fristil","24.94","1,291","02:09:20","123","157","3.5","--","--","11.6","22.8","187","191","--","--","--","--","--","--","--","--","151","339.0","116","460","--","--","--","11,796","--","--","-18","13.0","Nej","00:07:27.1","3","22.0","29","11","40","01:55:57","02:27:15","2","63"
Styrketräning,2025-10-28 06:17:54,false,"Styrka","0.00","328","00:54:32","93","170","1.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","14","7","1","-8","--","Nej","00:54:32","1","--","--","--","--","00:54:32","00:54:32","--","--"
Löpband,2025-10-26 12:47:34,false,"Löpband","8.64","626","00:51:40","128","161","3.5","150","171","5:59","4:31","--","--","1.12","8.0","8.9","269","--","--","--","--","339","0.0","298","429","--","--","--","7,744","--","--","-9","--","Nej","00:01:36.3","12","--","--","--","--","00:50:03","00:51:40","--","--"
Längdskidåkning fristil,2025-10-25 15:07:03,false,"Kungälv Längdskidåkning fristil","23.63","1,120","01:40:34","131","156","3.4","--","--","14.1","31.2","195","198","--","--","--","--","--","--","--","--","96","107.0","71","589","--","--","--","11,434","--","--","-13","18.0","Nej","00:09:59.6","4","24.0","31","19","41","01:39:56","01:41:57","3","83"
Löpband,2025-10-24 16:53:59,false,"Löpband","12.06","985","01:15:04","137","164","4.6","148","190","6:13","4:00","--","--","1.11","8.2","8.9","271","--","--","--","--","334","0.0","292","485","--","--","--","11,160","--","--","-13","--","Nej","00:00:25.1","14","--","--","--","--","01:11:11","01:15:04","--","--"
Gym- och träningsredskap,2025-10-24 06:55:00,false,"20:00 SkiErg","4.39","259","00:20:00","122","138","2.0","108","424","13.2","14.6","--","--","2.03","--","--","--","--","--","--","--","153","0.0","137","186","--","--","--","2,176","--","--","--","--","Nej","00:04:00","5","--","--","--","--","00:20:00","00:20:00","--","--"
Gym- och träningsredskap,2025-10-22 17:38:35,false,"33:25 SkiErg","6.77","374","00:33:25","105","124","0.9","108","444","12.2","15.7","--","--","1.85","--","--","--","--","--","--","--","135","0.0","108","233","--","--","--","3,654","--","--","--","--","Nej","00:03:25","7","--","--","--","--","00:33:25","00:33:25","--","--"
Styrketräning,2025-10-22 06:42:01,false,"Styrka","0.00","146","00:31:35","81","123","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","18","9","1","-4","--","Nej","00:31:35","1","--","--","--","--","00:31:35","00:31:35","--","--"
Längdskidåkning fristil,2025-10-21 18:03:45,false,"Kungälv Längdskidåkning fristil","14.57","753","01:17:05","120","160","2.9","--","--","11.3","22.5","177","178","--","--","--","--","--","--","--","--","193","329.8","140","492","--","--","--","7,296","--","--","-10","17.0","Nej","00:05:45.8","5","23.0","29","13","46","01:08:55","01:21:18","7","75"
Styrketräning,2025-10-21 06:32:13,false,"Styrka","0.00","334","00:58:21","91","228","1.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","8","4","1","-9","--","Nej","00:58:21","1","--","--","--","--","00:58:21","00:58:21","--","--"
Styrketräning,2025-10-20 16:06:57,false,"Styrka","0.00","454","00:40:12","120","143","2.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","102","51","2","-8","--","Nej","00:40:12","1","--","--","--","--","00:30:35","00:40:12","--","--"
Längdskidåkning fristil,2025-10-19 14:15:53,false,"Kungälv Längdskidåkning fristil","48.44","2,142","03:11:38","136","160","4.3","--","--","15.2","38.5","376","373","--","--","--","--","--","--","--","--","146","468.6","132","506","--","--","--","21,784","--","--","-24","13.0","Nej","00:13:25","6","22.0","32","14","46","03:11:01","03:19:30","1","125"
Styrketräning,2025-10-18 08:53:48,false,"Styrka","0.00","567","01:10:46","110","174","2.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","8","4","1","-12","--","Nej","01:10:46","1","--","--","--","--","00:34:34","01:10:46","--","--"
Styrketräning,2025-10-17 06:42:43,false,"Styrka","0.00","223","00:35:44","92","141","0.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","160","80","1","-5","--","Nej","00:35:44","1","--","--","--","--","00:35:44","00:35:44","--","--"
Längdskidåkning fristil,2025-10-16 16:39:47,false,"Kungälv Längdskidåkning fristil","37.85","1,479","02:38:30","125","156","3.1","--","--","14.3","34.3","307","313","--","--","--","--","--","--","--","--","117","250.8","74","577","--","--","--","18,458","--","--","-16","15.0","Nej","00:32:21","4","27.0","29","15","41","02:37:49","02:42:15","2","124"
Roddmaskin,2025-10-16 06:49:28,false,"30:00 row","6,392","365","30:00.0","120","133","1.6","--","--","2:21","2:09","--","--","--","--","--","--","--","--","--","--","127","0.0","125","165","--","--","1570","--","--","--","--","--","Nej","00:10:00","3","--","--","--","--","00:30:00","00:30:00","--","--"
Gym- och träningsredskap,2025-10-15 18:05:59,false,"6x4:00/1:00r SkiErg","6.09","320","00:30:00","137","145","2.5","112","130","12.2","64.1","--","--","1.60","--","--","--","--","--","--","--","152","0.0","109","15,774","--","--","--","2,686","--","--","--","--","Nej","00:01:00","12","--","--","--","--","00:28:45","00:30:00","--","--"
Gym- och träningsredskap,2025-10-15 17:51:04,false,"v4:00/r...5 SkiErg","2.11","119","00:10:00","112","126","0.7","104","120","12.6","14.1","--","--","2.01","--","--","--","--","--","--","--","128","0.0","121","168","--","--","--","1,048","--","--","--","--","Nej","00:00:00","9","--","--","--","--","00:09:55","00:10:00","--","--"
