Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Genomsnittlig skidkadens,Maximal skidkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Training Stress Score®,Steg,Totalt antal repetitioner,Totalt antal set,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Gång,2025-07-19 13:27:38,false,"Rauma Gång","3.67","867","02:26:49","136","179","42","244","39:58","1:42","674","229","0.65","0.0","7,844","--","--","Nej","00:12:46","4","00:57:31","02:26:49","7","675"
Gång,2025-07-17 08:05:46,false,"Lom Gång","12.48","2,936","09:01:33","139","188","31","241","43:24","3:59","1,354","1,392","0.82","0.0","23,704","--","--","Nej","00:08:12.6","14","03:25:12","09:06:20","1,055","2,371"
Löpning,2025-07-14 20:13:47,false,"Oslo Löpning","3.44","259","00:29:05","161","192","128","209","8:27","5:23","41","25","0.91","0.0","3,948","--","--","Nej","00:05:58.8","4","00:25:56","00:29:05","-11","27"
Löpning,2025-07-14 19:16:30,false,"Oslo Löpning","3.10","268","00:55:21","121","171","56","241","17:53","3:35","32","52","0.99","0.0","3,918","--","--","Nej","00:02:49.5","4","00:28:06","00:56:55","-12","15"
Löpning,2025-07-05 18:16:51,false,"Göteborg Löpning","2.09","139","00:13:19","166","190","167","240","6:22","4:53","45","13","0.94","0.0","2,236","--","--","Nej","00:00:30.7","3","00:13:11","00:13:49","7","46"
Löpning,2025-07-05 16:30:23,false,"Göteborg Löpning","2.21","152","00:13:42","177","189","155","244","6:12","1:10","39","24","1.03","0.0","2,236","--","--","Nej","00:02:11.3","3","00:13:41","00:13:42","1","20"
Löpning,2025-06-29 13:37:52,false,"Västerås Löpning","4.29","289","00:24:18","185","193","170","179","5:40","4:30","43","38","1.04","0.0","4,136","--","--","Nej","00:01:40.3","5","00:24:13","00:24:20","16","48"
Löpning,2025-06-21 17:26:06,false,"Kungsbacka Löpning","5.47","372","00:35:02","168","185","163","173","6:24","5:20","26","28","0.96","0.0","5,720","--","--","Nej","00:02:56.1","6","00:35:00","00:35:02","-6","8"
Löpning,2025-06-13 16:17:13,false,"Västerås Löpning","5.11","331","00:30:39","170","196","166","175","5:59","3:56","24","20","1.01","0.0","5,088","--","--","Nej","00:00:27.0","6","00:30:36","00:31:44","30","51"
Löpning,2025-06-08 10:53:43,false,"Göteborg Löpning","5.64","353","00:34:44","163","184","167","199","6:10","2:46","32","24","0.97","0.0","5,858","--","--","Nej","00:03:54.2","6","00:34:34","00:37:04","129","153"
Gång,2025-06-06 09:36:25,false,"Göteborg Gång","10.34","691","01:01:01","181","193","171","183","5:54","4:24","111","151","0.99","0.0","10,452","--","--","Nej","00:01:35.4","11","01:00:16","01:01:01","8","69"
Löpning,2025-06-02 07:21:55,false,"Göteborg Löpning","5.53","362","00:32:24","176","189","171","179","5:51","4:55","58","59","1.00","0.0","5,544","--","--","Nej","00:03:03.4","6","00:32:11","00:32:45","9","68"
Löpning,2025-05-30 16:32:10,false,"Partille Löpning","3.79","260","00:24:57","168","192","163","243","6:35","2:53","59","71","0.93","0.0","4,106","--","--","Nej","00:04:37.6","4","00:24:55","00:24:57","96","129"
Löpning,2025-05-27 06:02:55,false,"Göteborg Löpning","5.48","348","00:31:43","174","185","172","183","5:47","4:25","60","47","1.00","0.0","5,454","--","--","Nej","00:02:09.8","6","00:31:41","00:31:59","6","67"
Löpning,2025-05-24 17:04:12,false,"Göteborg Löpning","14.62","972","01:33:27","176","195","172","244","6:24","3:02","244","236","0.91","0.0","15,994","--","--","Nej","00:03:46.7","15","01:33:24","01:34:17","4","105"
Löpning,2025-05-19 06:33:56,false,"Göteborg Löpning","5.57","337","00:30:22","177","186","174","181","5:27","4:15","62","51","1.05","0.0","5,276","--","--","Nej","00:02:40.5","6","00:30:18","00:30:41","6","69"
Löpning,2025-05-17 08:38:10,false,"Göteborg Löpning","11.15","746","01:06:14","182","190","172","202","5:56","4:00","132","177","0.98","0.0","11,470","--","--","Nej","00:00:03.4","13","01:06:01","01:07:14","-1","97"
Löpning,2025-05-15 07:28:33,false,"Göteborg Löpning","7.16","474","00:42:11","180","193","173","192","5:54","3:53","166","142","0.98","0.0","7,268","--","--","Nej","00:00:41.1","8","00:42:08","00:42:11","10","100"
Löpning,2025-05-10 09:40:49,false,"Göteborg Löpning","5.52","341","00:28:56","186","196","174","183","5:14","4:06","58","58","1.10","0.0","5,020","--","--","Nej","00:02:38.9","6","00:28:54","00:28:56","9","67"
Löpning,2025-05-05 19:51:46,false,"Göteborg Löpning","10.37","650","00:59:48","174","186","169","231","5:46","4:23","77","82","1.02","0.0","10,122","--","--","Nej","00:01:39.9","11","00:59:30","01:00:46","1","66"
Löpning,2025-04-29 20:12:13,false,"Göteborg Löpning","5.45","351","00:30:00","182","193","172","179","5:30","4:18","62","50","1.06","0.0","5,146","--","--","Nej","00:03:15.2","6","00:29:56","00:30:47","6","66"
Löpning,2025-04-22 13:46:54,false,"Göteborg Löpning","10.25","715","00:58:20","187","196","172","183","5:42","4:02","75","78","1.02","0.0","9,986","--","--","Nej","00:01:14.8","11","00:58:03","00:59:01","-4","60"
Löpning,2025-04-13 08:56:58,false,"Göteborg Löpning","7.56","544","00:46:15","182","193","172","195","6:07","4:19","140","130","0.95","0.0","7,950","--","--","Nej","00:02:57.6","8","00:46:13","00:47:06","10","101"
Löpning,2025-03-17 16:52:33,false,"Göteborg Löpning","5.50","345","00:28:43","181","194","172","183","5:13","4:18","69","62","1.11","0.0","4,938","--","--","Nej","00:02:31.2","6","00:28:30","00:30:03","-8","59"
Löpning,2025-03-02 11:29:04,false,"Göteborg Löpning","23.86","1,580","02:28:27","177","191","171","195","6:13","3:08","274","241","0.94","0.0","25,318","--","--","Nej","00:04:55.2","24","02:27:52","02:31:19","2","76"
Löpning,2025-02-26 11:20:40,false,"Göteborg Löpning","5.97","349","00:28:17","186","195","175","191","4:44","3:02","62","51","1.21","0.0","4,916","--","--","Nej","00:03:46.4","6","00:28:11","00:28:19","5","69"
