Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelvärde GAP,Normalized Power® (NP®),Training Stress Score®,Med. kraft,Maxkraft,Steg,Urladdning av Body Battery,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2025-12-02 16:14:08,false,"Göteborg - Tempo","6.65","491","00:41:34","164","187","3.4","150","177","6:15","4:06","27","88","1.06","8.6","9.0","283","6:17","303","0.0","276","455","6,254","-10","Nej","00:00:00.3","14","00:39:46","00:43:14","-3","66"
Löpning,2025-11-30 15:56:41,false,"Göteborg - Bas","8.02","619","00:53:15","161","183","3.3","156","176","6:38","5:21","86","94","0.96","9.4","9.0","293","6:33","291","0.0","281","440","8,346","-11","Nej","00:00:14.9","9","00:52:11","00:53:15","-2","73"
Löpning,2025-11-28 17:03:54,false,"Göteborg - Bas","4.76","347","00:30:19","155","174","2.8","154","171","6:22","4:57","21","76","1.01","9.3","9.3","293","6:29","275","0.0","272","417","4,746","-7","Nej","00:00:18.7","6","00:30:00","00:34:59","2","68"
Löpband,2025-11-26 15:53:26,false,"Löpband","4.82","367","00:30:16","159","171","3.1","159","172","6:17","5:45","--","--","1.01","9.2","9.3","291","--","277","0.0","275","310","4,804","-8","Nej","00:05:12.3","5","00:30:04","00:30:16","--","--"
Löpband,2025-11-25 15:53:43,false,"Löpband","6.05","479","00:41:08","156","171","3.1","155","167","6:48","7:17","--","--","0.80","10.3","8.2","308","--","214","0.0","206","245","6,410","-11","Nej","00:07:08.0","5","00:39:19","00:43:22","--","--"
Löpning,2025-11-20 17:00:58,false,"Göteborg Löpning","8.49","672","00:54:24","170","193","3.9","151","174","6:25","4:33","69","83","1.02","8.7","8.9","283","6:20","295","0.0","272","409","8,270","-13","Nej","00:02:14.5","12","00:52:57","00:57:17","0","68"
Löpning,2025-11-18 16:30:28,false,"Göteborg Löpning","5.02","392","00:31:49","167","188","3.2","160","177","6:20","4:28","84","90","0.99","9.2","9.1","289","6:14","298","0.0","291","435","5,068","-8","Nej","00:00:10.1","6","00:31:43","00:31:49","38","94"
Löpning,2025-11-14 17:20:04,false,"Göteborg - Bas","4.76","369","00:30:05","164","186","3.1","159","176","6:19","4:53","70","92","0.99","9.2","9.1","288","6:16","299","0.0","289","403","4,762","-8","Nej","00:00:05.4","6","00:29:46","00:30:07","38","94"
Löpning,2025-11-10 21:23:02,false,"Göteborg - Bas","10.02","776","00:59:07","177","191","4.2","161","172","5:54","5:01","30","94","1.05","8.9","9.4","284","5:58","296","0.0","294","378","9,496","-14","Nej","00:02:06.8","11","00:59:04","00:59:07","5","69"
Löpning,2025-11-08 19:08:21,false,"Göteborg Löpning","1.69","178","00:13:49","166","191","2.7","103","174","8:09","4:11","5","6","1.16","8.4","9.7","273","8:04","300","0.0","213","449","1,466","-2","Nej","00:04:13.2","2","00:09:23","00:13:49","57","60"
Löpning,2025-11-05 21:24:50,false,"Göteborg Löpning","6.12","472","00:36:18","172","196","3.7","148","188","5:56","3:56","31","79","1.11","8.2","9.0","271","5:57","324","0.0","286","509","5,432","-9","Nej","00:00:07.0","11","00:35:18","00:37:02","6","72"
Löpning,2025-11-04 16:21:59,false,"Göteborg - Återhämtning","3.12","238","00:22:08","152","173","2.2","152","163","7:06","6:07","26","36","0.93","9.5","8.8","303","7:04","267","0.0","259","365","3,350","-5","Nej","00:00:08.2","5","00:21:49","00:22:08","34","68"
Löpning,2025-11-03 17:54:33,false,"Göteborg - Bas","5.69","446","00:34:06","172","193","3.4","160","167","6:00","4:22","43","68","1.04","9.0","9.4","285","6:00","308","0.0","303","425","5,442","-10","Nej","00:00:06.5","7","00:33:58","00:34:06","7","70"
Löpning,2025-11-02 17:57:27,false,"Göteborg - Återhämtning","4.12","321","00:28:22","159","180","2.6","158","171","6:53","5:02","45","47","0.92","9.6","8.9","298","6:49","274","0.0","269","409","4,478","-5","Nej","00:01:28.2","5","00:28:21","00:28:22","34","68"
Löpning,2025-10-27 21:42:35,false,"Göteborg - Tröskel","6.24","475","00:35:06","176","191","3.8","167","188","5:38","4:28","16","78","1.06","8.6","9.0","272","5:44","307","0.0","301","387","5,824","-7","Nej","00:00:06.3","8","00:35:04","00:35:06","5","72"
Löpning,2025-10-25 18:13:32,false,"Göteborg Löpning","4.64","379","00:33:35","158","181","2.7","155","170","7:14","5:21","48","54","0.89","9.8","8.8","303","7:09","261","0.0","254","389","5,166","-8","Nej","00:04:46.5","5","00:33:10","00:40:10","47","72"
Löpning,2025-10-23 17:25:46,false,"Göteborg Löpning","8.66","678","00:50:56","177","195","3.9","157","198","5:53","3:02","93","96","1.07","8.9","9.4","284","5:52","326","0.0","309","602","8,082","-15","Nej","00:02:50.8","9","00:50:10","01:13:25","3","65"
Löpning,2025-10-16 18:05:49,false,"Göteborg Löpning","6.64","634","00:54:09","163","199","3.5","112","198","8:09","2:52","60","74","1.05","8.9","9.0","283","8:01","285","0.0","212","570","6,230","-13","Nej","00:06:07.7","7","00:40:17","00:59:30","4","60"
