Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2024-07-25 14:55:58,false,"Göteborg Löpning","7.00","705","00:50:31","170","191","3.2","162","172","7:13","2:09","105","104","0.90","8.3","7.5","290","48.4% vänster/51.6% höger","0.0","8,094","Nej","00:00:00.7","8","00:50:30","00:50:31","46","99"
Löpning,2024-07-23 20:12:32,false,"Borås Löpning","6.00","555","00:34:01","175","190","3.8","169","177","5:40","4:31","53","52","1.04","7.4","7.9","265","48.8% vänster/51.3% höger","0.0","5,674","Nej","00:00:00.7","7","00:33:55","00:34:01","161","190"
Löpning,2024-07-19 16:11:02,false,"Kraftprovet 2024","11.63","1,147","01:06:05","194","207","5.0","169","212","5:41","4:16","185","187","1.02","7.7","8.0","268","48.5% vänster/51.5% höger","0.0","11,030","Nej","00:03:16.3","12","01:06:00","01:06:05","11","85"
Löpning,2024-07-16 20:19:56,false,"Göteborg - norska","8.00","758","00:49:22","168","195","4.5","168","180","6:10","4:33","103","119","0.96","8.0","7.8","274","48.2% vänster/51.8% höger","0.0","8,174","Nej","00:01:40.1","12","00:49:18","00:49:50","35","100"
Löpband,2024-07-14 18:26:04,false,"Löpband","4.00","396","00:28:42","155","167","3.1","158","219","7:10","6:23","--","--","0.88","10.3","9.2","291","48.4% vänster/51.6% höger","0.0","4,500","Nej","00:28:42","1","00:28:42","00:28:42","--","--"
Löpning,2024-07-10 15:52:24,false,"Borås - norska","8.00","741","00:49:08","164","204","4.5","166","182","6:08","4:28","36","58","0.97","7.6","7.5","273","49.0% vänster/51.0% höger","0.0","8,078","Nej","00:00:36.2","12","00:49:06","00:49:08","126","168"
Löpning,2024-07-07 21:04:59,false,"Borås Löpning","7.55","694","00:46:45","164","194","4.2","167","184","6:11","4:52","25","59","0.97","7.9","7.8","272","48.7% vänster/51.3% höger","0.0","7,714","Nej","00:03:41.9","8","00:46:41","00:47:03","125","168"
Löpning,2024-07-05 11:53:05,false,"Borås Löpning","3.01","283","00:19:16","165","187","3.2","169","181","6:24","5:26","26","34","0.92","7.5","7.0","274","48.5% vänster/51.5% höger","0.0","3,212","Nej","00:00:04.5","4","00:19:15","00:19:16","128","167"
Löpning,2024-07-03 17:00:27,false,"Borås Löpning","8.13","755","00:55:45","159","182","3.6","161","174","6:51","5:30","53","67","0.89","8.4","7.7","283","49.1% vänster/50.9% höger","0.0","8,878","Nej","00:00:52.6","9","00:55:42","00:55:45","132","170"
Löpning,2024-06-30 17:33:25,false,"Borås Löpning","4.00","373","00:23:58","169","187","3.6","169","184","5:59","4:44","33","33","0.99","7.9","8.0","265","48.4% vänster/51.6% höger","0.0","4,002","Nej","00:05:37.6","4","00:23:57","00:23:58","161","179"
Löpband,2024-06-16 20:36:36,false,"Norska 12km/h","8.00","809","00:51:21","172","202","4.0","165","181","6:25","5:40","--","--","0.86","9.3","8.1","274","48.9% vänster/51.1% höger","0.0","8,406","Nej","00:01:43.4","9","00:51:17","00:51:26","--","--"
Löpning,2024-06-13 20:34:05,false,"Borås - norska","8.00","728","00:48:26","160","196","3.8","170","186","6:03","4:21","39","70","0.97","7.9","7.8","265","48.3% vänster/51.7% höger","0.0","8,124","Nej","00:03:00","11","00:48:25","00:48:26","131","182"
Löpning,2024-06-10 18:06:13,false,"Borås Löpning","10.00","935","01:08:00","157","184","3.2","165","180","6:48","5:36","71","72","0.89","8.6","7.8","267","49.2% vänster/50.8% höger","0.0","11,126","Nej","00:06:21.3","10","01:07:56","01:08:09","132","170"
Löpning,2024-06-01 12:12:40,false,"Stockholm Löpning","43.37","3,997","05:30:05","164","188","5.0","157","236","7:37","4:19","566","570","0.84","8.7","7.5","303","49.1% vänster/50.9% höger","0.0","51,140","Nej","00:01:55.9","44","05:26:05","05:30:05","-6","51"
Löpning,2024-05-30 15:56:17,false,"Borås Löpning","5.01","458","00:30:25","163","193","3.1","169","179","6:04","4:59","28","58","0.98","8.5","8.5","261","47.9% vänster/52.1% höger","0.0","5,064","Nej","00:02:29.9","9","00:30:24","00:30:25","132","167"
Löpning,2024-05-28 19:39:34,false,"Borås Löpning","6.01","554","00:34:25","170","199","3.6","170","183","5:44","4:25","57","56","1.02","8.0","8.3","258","48.0% vänster/52.0% höger","0.0","5,794","Nej","00:00:01.5","7","00:34:19","00:34:25","160","190"
Löpning,2024-05-26 19:52:09,false,"Borås Löpning","8.48","766","00:55:27","156","181","3.2","166","195","6:32","5:18","59","62","0.91","9.3","8.6","272","47.8% vänster/52.2% höger","0.0","9,080","Nej","00:03:38.6","9","00:55:23","00:55:27","132","167"
Löpning,2024-05-24 10:01:02,false,"Borås Löpning","8.00","747","00:48:14","166","194","4.0","169","190","6:02","4:22","83","86","0.97","8.2","8.1","265","48.6% vänster/51.4% höger","0.0","8,040","Nej","00:04:56.5","8","00:48:13","00:48:14","133","168"
Löpning,2024-05-22 20:20:38,false,"Borås Löpning","10.00","932","00:59:05","171","186","3.9","169","189","5:54","4:35","72","75","1.00","8.7","8.9","253","48.5% vänster/51.5% höger","0.0","9,860","Nej","00:05:17.4","10","00:59:04","00:59:05","131","168"
Löpning,2024-05-18 14:29:39,false,"Göteborg Löpning","21.46","2,067","02:07:31","182","203","5.0","170","191","5:57","4:59","282","286","0.99","8.4","8.5","265","49.2% vänster/50.8% höger","0.0","21,360","Nej","00:02:25.5","22","02:07:24","02:07:31","-1","57"
Löpning,2024-05-16 19:44:01,false,"Borås Löpning","4.00","373","00:24:59","159","184","3.0","166","179","6:15","5:02","34","32","0.97","8.3","8.2","265","49.3% vänster/50.7% höger","0.0","4,088","Nej","00:02:43.0","7","00:24:46","00:24:59","161","178"
Löpning,2024-05-09 15:34:00,false,"Borås Löpning","20.01","1,780","02:12:57","156","171","3.8","166","177","6:39","5:24","120","151","0.91","8.4","7.8","265","49.7% vänster/50.3% höger","0.0","21,854","Nej","00:00:05.2","21","02:12:52","02:15:20","130","167"
Löpning,2024-05-05 12:18:19,false,"Borås Löpning","6.88","674","00:52:33","164","176","2.8","163","177","7:38","5:41","70","36","0.80","8.3","6.8","302","49.4% vänster/50.6% höger","0.0","8,492","Nej","00:06:48.3","7","00:52:28","00:57:12","133","191"
Löpning,2024-05-05 11:13:48,false,"Borås Löpning","10.01","929","00:53:34","188","199","4.7","174","179","5:21","4:56","61","63","1.07","7.7","8.4","251","48.2% vänster/51.8% höger","0.0","9,200","Nej","00:00:01.2","11","00:53:32","00:53:34","132","149"
Löpning,2024-05-05 11:02:27,false,"Borås Löpning","0.66","63","00:04:47.6","150","160","0.8","165","169","7:14","6:57","--","--","0.84","8.8","7.5","264","49.8% vänster/50.2% höger","0.0","784","Nej","00:04:47.6","1","00:04:47","00:04:57.8","139","149"
Löpning,2024-05-05 10:43:18,false,"Borås Löpning","2.50","233","00:17:45","154","164","2.1","166","192","7:06","5:33","9","34","0.85","8.6","7.4","267","49.2% vänster/50.8% höger","0.0","2,918","Nej","00:03:49.6","3","00:17:44","00:17:45","132","168"
Löpning,2024-05-03 11:15:49,false,"Borås Löpning","15.00","1,393","01:30:41","170","191","4.5","172","185","6:03","4:02","71","74","0.96","7.7","7.6","263","48.6% vänster/51.4% höger","0.0","15,456","Nej","00:00:00.5","16","01:30:37","01:31:05","127","167"
Löpning,2024-05-02 20:46:48,false,"Borås Löpning","5.00","458","00:29:40","163","178","3.2","169","186","5:56","5:16","43","42","1.00","8.8","8.9","252","49.6% vänster/50.4% höger","0.0","4,942","Nej","00:00:01.1","6","00:29:40","00:29:40","161","183"
Löpning,2024-04-28 14:43:40,false,"Borås Löpning","15.00","1,371","01:43:20","158","174","3.5","166","177","6:53","5:42","172","175","0.88","8.3","7.4","277","49.7% vänster/50.3% höger","0.0","16,944","Nej","00:00:00.8","16","01:43:16","01:43:20","142","217"
Löpning,2024-04-26 13:28:11,false,"Borås Löpning","20.00","1,763","02:08:28","155","178","3.9","170","191","6:25","5:27","84","85","0.91","7.6","7.1","265","49.1% vänster/50.9% höger","0.0","21,676","Nej","00:00:00.7","21","02:08:19","02:09:02","132","167"
Löpband,2024-04-25 19:43:14,false,"Löpband","5.00","441","00:34:26","150","161","2.3","165","171","6:53","6:27","--","--","0.89","8.9","8.1","261","49.0% vänster/51.0% höger","0.0","5,626","Nej","00:34:26","1","00:34:26","00:34:26","--","--"
Löpning,2024-04-23 21:02:02,false,"Borås Löpning","10.00","905","00:57:32","167","180","3.8","175","186","5:45","5:10","63","64","0.99","7.2","7.4","256","48.9% vänster/51.1% höger","0.0","9,958","Nej","00:00:01.0","11","00:57:29","00:57:32","116","168"
Löpning,2024-04-21 16:44:00,false,"Borås Löpning","27.01","2,373","02:54:11","152","174","4.5","170","184","6:27","5:36","138","141","0.91","7.6","7.1","267","49.1% vänster/50.9% höger","0.0","29,240","Nej","00:00:01.3","28","02:54:03","02:54:44","132","167"
Löpning,2024-04-18 19:37:20,false,"Borås Löpning","12.00","1,082","01:23:06","150","169","3.2","165","182","6:55","4:59","178","175","0.87","8.3","7.4","284","48.8% vänster/51.2% höger","0.0","13,586","Nej","00:00:01.2","13","01:23:02","01:23:06","155","211"
Löpning,2024-04-17 20:14:18,false,"Borås Löpning","1.00","98","00:07:28.7","154","162","1.3","163","176","7:27","6:31","--","--","0.80","8.2","6.6","282","48.9% vänster/51.1% höger","0.0","1,224","Nej","00:00:01.2","2","00:07:24","00:13:29","133","137"
Löpning,2024-04-17 19:45:02,false,"Borås Löpning","5.07","430","00:23:43","191","206","3.8","178","218","4:40","3:52","1","2","1.20","6.7","8.3","235","49.2% vänster/50.8% höger","0.0","4,178","Nej","00:00:16.1","6","00:23:39","00:23:43","133","136"
Löpning,2024-04-17 19:19:29,false,"Borås Löpning","2.00","183","00:14:30","149","169","2.0","163","194","7:14","4:12","7","5","0.83","8.8","7.3","283","48.8% vänster/51.2% höger","0.0","2,342","Nej","00:00:01.3","3","00:14:21","00:15:20","134","139"
Löpning,2024-04-16 18:36:01,false,"Borås Löpning","10.00","914","01:07:34","155","176","3.3","167","185","6:45","6:02","74","75","0.89","8.2","7.4","270","48.8% vänster/51.3% höger","0.0","11,168","Nej","00:00:01.2","11","01:07:29","01:07:42","132","167"
Löpning,2024-04-14 12:48:48,false,"Borås Löpning","16.00","1,481","01:36:51","171","186","4.8","173","187","6:03","4:55","91","93","0.95","7.7","7.5","261","49.3% vänster/50.7% höger","0.0","16,536","Nej","00:00:00.9","17","01:36:47","01:36:51","133","167"
Löpning,2024-04-11 18:52:37,false,"Borås Löpning","20.01","1,763","02:21:07","154","166","3.8","169","178","7:03","5:32","150","147","0.84","7.7","6.6","273","49.4% vänster/50.6% höger","0.0","23,642","Nej","00:00:04.3","21","02:20:56","02:21:58","135","224"
Löpning,2024-04-10 19:10:02,false,"Borås Löpning","15.00","1,342","01:41:46","152","176","3.6","166","184","6:47","5:37","144","147","0.88","8.1","7.3","267","49.5% vänster/50.5% höger","0.0","16,758","Nej","00:00:00.7","16","01:41:38","01:41:46","130","221"
Löpning,2024-04-08 18:56:04,false,"Borås Löpning","5.00","471","00:34:38","152","161","2.7","167","191","6:55","5:22","43","41","0.87","8.0","7.1","274","49.8% vänster/50.3% höger","0.0","5,722","Nej","00:00:02.2","6","00:34:36","00:34:38","161","183"
Löpning,2024-04-06 15:41:50,false,"Borås Löpning","30.00","2,633","03:45:23","158","175","4.1","164","178","7:31","5:52","154","184","0.81","8.4","6.9","285","48.9% vänster/51.1% höger","0.0","36,542","Nej","00:00:01.2","31","03:45:11","03:48:40","127","167"
Löpning,2024-04-04 15:29:03,false,"12km 5:54","16.00","1,483","01:38:49","169","186","4.5","172","185","6:11","5:19","101","102","0.94","7.7","7.4","264","49.1% vänster/50.9% höger","0.0","16,756","Nej","00:00:01.2","17","01:38:46","01:38:49","132","167"
Löpband,2024-04-03 13:56:37,false,"Löpband","8.00","657","00:55:22","148","161","2.6","166","190","6:55","6:40","--","--","0.86","8.6","7.5","264","49.4% vänster/50.6% höger","0.0","9,124","Nej","00:55:22","1","00:55:22","00:55:22","--","--"
Löpning,2024-04-01 16:02:35,false,"Borås Löpning","7.00","676","00:49:53","156","176","3.0","166","187","7:07","5:44","113","39","0.85","8.8","7.6","269","49.7% vänster/50.3% höger","0.0","8,194","Nej","00:06:49.2","8","00:49:53","00:49:53","161","245"
Löpning,2024-03-31 16:35:26,false,"Borås Löpning","22.00","1,980","02:38:00","152","170","4.0","164","201","7:11","5:21","278","307","0.85","8.9","7.6","275","48.9% vänster/51.1% höger","0.0","25,544","Nej","00:00:01.3","23","02:37:51","02:40:09","128","302"
Löpning,2024-03-30 15:38:34,false,"6km 5:18","10.00","924","00:59:48","175","195","4.6","170","187","5:59","4:59","53","56","0.98","7.7","7.7","263","49.1% vänster/50.9% höger","0.0","10,056","Nej","00:00:01.1","11","00:59:45","00:59:48","133","168"
Löpning,2024-03-29 14:35:16,false,"Borås Löpning","5.31","493","00:36:03","154","170","2.9","164","186","6:47","5:51","52","50","0.90","8.6","7.9","272","49.1% vänster/50.9% höger","0.0","5,854","Nej","00:02:07.1","6","00:36:00","00:36:03","162","190"
Löpning,2024-03-28 12:17:09,false,"Borås Löpning","12.00","1,082","01:27:36","157","170","3.2","163","190","7:18","5:58","67","98","0.84","8.8","7.5","268","49.2% vänster/50.8% höger","0.0","14,184","Nej","00:00:00.4","13","01:27:33","01:27:36","132","168"
Löpning,2024-03-27 18:37:51,false,"Borås Löpning","10.70","977","01:14:30","154","173","3.3","165","175","6:58","5:25","80","81","0.87","8.5","7.6","271","49.4% vänster/50.6% höger","0.0","12,150","Nej","00:05:40.6","11","01:14:26","01:14:30","131","178"
Löpning,2024-03-19 17:43:36,false,"Borås Löpning","16.00","1,439","01:51:20","153","167","3.6","164","186","6:57","4:51","105","107","0.87","8.1","7.3","276","49.0% vänster/51.0% höger","0.0","18,122","Nej","00:00:01.6","17","01:51:16","01:51:20","130","167"
Löpning,2024-03-17 10:00:25,false,"Borås Löpning","4.00","378","00:25:26","166","185","3.0","168","181","6:21","4:50","34","33","0.94","7.6","7.3","274","49.7% vänster/50.3% höger","0.0","4,200","Nej","00:00:01.1","5","00:25:22","00:25:26","162","179"
Löpning,2024-03-15 14:55:22,false,"Borås Löpning","8.00","725","00:53:07","155","176","3.3","168","187","6:38","5:12","55","55","0.90","7.5","6.9","270","49.1% vänster/50.9% höger","0.0","8,824","Nej","00:00:00.8","9","00:53:06","00:53:07","131","167"
Löpband,2024-03-14 12:55:45,false,"Löpband","15.00","1,100","01:44:08","149","164","2.9","166","172","6:56","5:34","--","--","0.94","7.6","7.3","257","48.8% vänster/51.2% höger","0.0","17,162","Nej","01:44:08","1","01:44:06","01:45:12","--","--"
Löpning,2024-03-13 15:04:32,false,"Borås Löpning","10.00","906","01:06:54","152","168","3.3","167","193","6:41","5:13","77","77","0.89","7.8","7.2","271","49.3% vänster/50.7% höger","0.0","11,072","Nej","00:06:09.1","10","01:06:41","01:10:02","133","172"
Löpning,2024-03-12 15:57:24,false,"Borås Löpning","5.01","467","00:37:04","153","165","2.5","163","172","7:24","6:07","42","39","0.83","8.1","6.8","298","49.3% vänster/50.7% höger","0.0","5,984","Nej","00:00:02.1","6","00:36:55","00:37:04","162","186"
Löpning,2024-03-10 14:38:21,false,"Borås Löpning","25.01","2,175","03:04:26","154","168","3.9","164","186","7:22","5:30","111","142","0.83","7.9","6.7","295","48.4% vänster/51.6% höger","0.0","30,022","Nej","00:01:15.0","26","03:04:21","03:04:26","129","168"
Löpband,2024-03-07 18:53:10,false,"Löpband","10.00","892","01:05:09","163","185","3.5","166","240","6:31","6:17","--","--","0.88","9.0","8.1","269","48.5% vänster/51.5% höger","0.0","10,716","Nej","00:14:16","3","01:05:09","01:05:09","--","--"
Löpband,2024-03-06 19:55:24,false,"Löpband","15.00","1,155","01:44:18","149","165","3.0","164","187","6:57","6:07","--","--","0.89","8.6","7.8","265","49.2% vänster/50.8% höger","0.0","16,932","Nej","00:08:33.1","8","01:44:16","01:44:18","--","--"
Löpning,2024-03-04 17:22:46,false,"Borås Löpning","5.00","459","00:31:35","158","168","3.1","167","187","6:19","4:54","39","36","0.94","7.7","7.4","271","48.6% vänster/51.4% höger","0.0","5,226","Nej","00:00:00.7","6","00:31:34","00:31:35","162","182"
Löpning,2024-03-03 18:16:58,false,"Borås Löpning","8.10","737","00:57:59","151","165","3.0","165","182","7:10","5:51","62","61","0.85","8.1","7.1","275","48.7% vänster/51.3% höger","0.0","9,444","Nej","00:00:46.5","9","00:57:57","00:57:59","133","172"
Löpning,2024-03-02 12:22:08,false,"Borås Löpning","10.04","901","01:09:37","154","169","3.3","166","184","6:56","5:13","67","67","0.87","8.1","7.2","272","48.7% vänster/51.3% höger","0.0","11,472","Nej","00:00:15.2","11","01:09:34","01:10:24","128","172"
Löpband,2024-02-28 18:24:50,false,"Löpband","12.00","984","01:18:06","161","178","3.6","167","176","6:30","5:57","--","--","0.92","8.4","7.9","259","48.1% vänster/51.9% höger","0.0","12,948","Nej","00:01:05.3","8","01:18:03","01:18:06","--","--"
Löpning,2024-02-27 16:43:12,false,"Borås Löpning","10.05","924","01:12:49","152","168","3.4","165","210","7:15","4:53","144","145","0.82","8.6","7.2","284","49.4% vänster/50.6% höger","0.0","11,886","Nej","00:00:20.4","11","01:12:47","01:12:49","166","202"
Löpning,2024-02-25 14:42:47,false,"Borås Löpning","25.00","2,181","03:09:15","154","170","4.7","164","179","7:34","5:45","109","129","0.80","7.9","6.5","300","48.4% vänster/51.6% höger","0.0","30,762","Nej","00:00:00.5","26","03:09:08","03:09:15","131","167"
Löpning,2024-02-24 14:00:46,false,"Borås Löpning","5.00","469","00:36:23","155","169","3.0","164","200","7:16","5:24","54","54","0.83","8.2","7.0","287","48.3% vänster/51.7% höger","0.0","5,926","Nej","00:00:01.1","6","00:36:22","00:36:23","162","188"
Löpning,2024-02-23 13:51:47,false,"Borås Löpning","18.50","1,633","02:12:26","155","166","4.5","166","199","7:10","5:35","94","124","0.83","8.1","6.9","275","48.8% vänster/51.2% höger","0.0","21,762","Nej","00:03:38.9","19","02:12:18","02:15:03","129","167"
Löpning,2024-02-20 16:55:44,false,"Borås Löpning","4.00","379","00:27:16","152","163","3.1","166","182","6:49","5:18","39","37","0.89","8.2","7.5","275","48.3% vänster/51.7% höger","0.0","4,478","Nej","00:00:01.1","5","00:27:16","00:27:16","161","180"
Löpning,2024-02-18 13:13:46,false,"Borås Löpning","15.00","1,355","01:53:12","157","174","3.7","162","191","7:33","5:37","67","78","0.82","8.1","6.8","310","48.5% vänster/51.5% höger","0.0","18,134","Nej","00:00:00.6","16","01:53:09","01:53:12","130","168"
Löpning,2024-02-17 17:55:53,false,"Borås Löpning","5.12","485","00:33:56","160","177","3.3","168","186","6:37","5:39","52","48","0.90","8.4","7.7","259","48.9% vänster/51.1% höger","0.0","5,632","Nej","00:00:48.7","6","00:33:54","00:34:05","157","179"
Löpning,2024-02-16 14:38:33,false,"Borås Löpning","12.00","1,079","01:32:46","155","174","3.4","161","170","7:44","6:12","38","65","0.80","8.1","6.6","312","48.7% vänster/51.3% höger","0.0","14,800","Nej","00:00:00.7","13","01:32:44","01:32:46","133","166"
Löpning,2024-02-13 17:00:32,false,"Borås Löpning","6.03","562","00:42:47","154","174","3.3","164","172","7:06","5:50","36","48","0.86","8.7","7.6","299","47.9% vänster/52.1% höger","0.0","6,946","Nej","00:00:10.9","7","00:42:47","00:42:47","121","167"
Löpband,2024-02-12 16:23:03,false,"Löpband","8.00","709","00:57:07","152","167","3.3","159","183","7:08","6:52","--","--","0.87","9.6","8.5","269","49.2% vänster/50.8% höger","0.0","9,004","Nej","00:13:31","4","00:56:57","00:57:07","--","--"
Löpband,2024-02-09 19:29:35,false,"Löpband","5.00","482","00:37:37","152","165","2.7","160","240","7:31","6:38","--","--","0.88","8.2","7.4","277","49.3% vänster/50.7% höger","0.0","5,960","Nej","00:09:19.2","3","00:37:33","00:37:37","--","--"
Löpning,2024-01-28 15:12:46,false,"Borås Löpning","19.00","1,657","02:27:20","154","171","3.5","162","192","7:45","6:05","105","135","0.79","8.8","7.1","296","49.0% vänster/51.0% höger","0.0","23,690","Nej","00:00:01.3","20","02:27:03","02:30:21","126","177"
Löpband,2024-01-26 17:01:07,false,"Löpband","11.50","1,045","01:12:09","170","183","4.1","166","177","6:16","6:01","--","--","0.88","8.4","7.6","256","49.0% vänster/51.0% höger","0.0","11,902","Nej","00:04:50.7","6","01:12:05","01:12:09","--","--"
Löpning,2024-01-25 17:24:19,false,"Borås Löpning","8.00","736","00:51:14","169","195","4.0","166","182","6:24","4:50","73","83","0.93","7.9","7.5","280","49.2% vänster/50.8% höger","0.0","8,400","Nej","00:00:01.3","9","00:51:08","00:51:34","122","191"
Löpband,2024-01-22 13:33:21,false,"Löpband","10.00","877","01:14:07","153","165","3.0","162","219","7:25","6:49","--","--","0.84","8.9","7.6","273","48.6% vänster/51.4% höger","0.0","11,936","Nej","01:14:07","1","01:14:07","01:14:07","--","--"
Löpband,2024-01-21 15:37:39,false,"Löpband","10.00","840","01:14:13","149","161","2.8","161","186","7:25","6:06","--","--","0.96","7.8","7.7","269","48.8% vänster/51.2% höger","0.0","11,824","Nej","01:14:13","1","01:14:13","01:15:01","--","--"
Löpning,2024-01-16 15:36:59,false,"Borås Löpning","10.13","923","01:15:25","155","167","3.0","165","172","7:27","5:34","73","73","0.82","8.1","6.8","299","47.8% vänster/52.2% höger","0.0","12,284","Nej","00:01:02.3","11","01:15:23","01:15:25","128","172"
Löpband,2024-01-14 15:48:57,false,"Löpband","11.00","982","01:10:15","171","199","4.7","158","202","6:23","5:20","--","--","0.96","7.9","7.7","257","49.4% vänster/50.6% höger","0.0","10,994","Nej","00:01:26.5","5","01:10:05","01:10:15","--","--"
Löpning,2024-01-11 13:14:02,false,"Borås Löpning","21.00","1,812","02:43:16","155","177","3.5","164","179","7:46","5:54","79","103","0.79","8.1","6.5","298","48.1% vänster/51.9% höger","0.0","26,502","Nej","00:00:00.7","22","02:43:06","02:45:22","130","166"
Löpning,2024-01-09 15:17:13,false,"Borås Löpning","15.00","1,328","01:54:03","154","166","3.4","163","171","7:36","1:37","87","84","0.80","8.6","7.0","283","47.7% vänster/52.3% höger","0.0","18,466","Nej","00:00:01.3","16","01:53:59","01:54:03","124","172"
Löpband,2024-01-07 09:20:25,false,"Löpband","10.00","970","01:02:59","177","203","5.0","164","226","6:18","5:54","--","--","0.86","9.0","7.9","270","48.7% vänster/51.3% höger","0.0","10,234","Nej","00:01:04.3","7","01:02:57","01:02:59","--","--"
Löpning,2024-01-05 13:11:11,false,"Borås Löpning","15.00","1,356","01:48:26","160","201","3.7","162","178","7:14","4:50","74","105","0.85","8.4","7.3","301","48.2% vänster/51.8% höger","0.0","17,440","Nej","00:00:01.1","16","01:48:22","01:49:06","133","167"
Löpband,2024-01-03 18:30:17,false,"Löpband","12.00","1,046","01:31:17","151","166","3.1","160","165","7:36","6:27","--","--","0.90","8.0","7.4","275","48.4% vänster/51.6% höger","0.0","14,460","Nej","01:31:17","1","01:31:17","01:31:17","--","--"
Löpning,2023-12-31 12:52:15,false,"Borås Löpning","8.01","761","00:53:23","173","199","4.0","161","184","6:40","5:05","66","81","0.93","7.8","7.4","284","49.1% vänster/50.9% höger","0.0","8,500","Nej","00:00:01.3","9","00:53:21","00:53:23","131","167"
Löpband,2023-12-29 13:34:39,false,"Löpband","8.00","803","01:04:05","155","167","3.1","159","183","8:01","7:09","--","--","0.73","9.1","6.8","317","49.6% vänster/50.4% höger","0.0","10,098","Nej","01:04:05","1","01:04:04","01:05:58","--","--"
Löpning,2023-12-27 15:23:31,false,"Borås Löpning","22.00","1,925","02:56:27","157","170","3.7","159","173","8:01","6:13","107","119","0.79","8.2","6.6","322","49.7% vänster/50.3% höger","0.0","27,722","Nej","00:00:01.4","23","02:56:18","02:56:27","130","167"
Löpning,2023-12-25 14:59:32,false,"Borås Löpning","12.00","1,077","01:25:36","154","165","3.4","162","173","7:08","5:50","45","78","0.86","8.2","7.2","287","48.6% vänster/51.4% höger","0.0","13,754","Nej","00:00:01.5","13","01:25:32","01:25:36","127","168"
Löpband,2023-12-22 15:32:36,false,"Löpband","8.00","729","00:59:12","152","166","3.0","161","170","7:24","6:43","--","--","0.83","8.7","7.4","275","48.9% vänster/51.1% höger","0.0","9,484","Nej","00:11:29","5","00:59:10","00:59:58","--","--"
Löpning,2023-12-20 13:13:16,false,"Borås Löpning","11.50","1,059","01:21:40","167","198","4.2","162","177","7:06","5:03","28","59","0.87","8.1","7.1","294","49.2% vänster/50.8% höger","0.0","13,054","Nej","00:03:44.7","12","01:21:33","01:21:54","128","167"
Löpning,2023-12-18 13:53:36,false,"Borås Löpning","20.00","1,765","02:41:59","158","169","3.7","158","178","8:06","6:11","137","157","0.78","8.0","6.4","326","49.0% vänster/51.0% höger","0.0","25,396","Nej","00:00:00.9","21","02:41:54","02:41:59","123","178"
Löpning,2023-12-15 12:08:39,false,"Borås Löpning","14.00","1,233","01:49:21","156","172","3.3","159","179","7:49","6:12","76","97","0.80","8.1","6.6","322","48.8% vänster/51.2% höger","0.0","17,278","Nej","00:00:00.4","15","01:49:13","01:57:54","121","167"
Löpband,2023-12-13 18:51:37,false,"Löpband","8.00","791","01:01:23","155","166","3.3","160","213","7:40","6:49","--","--","0.83","8.4","7.2","280","48.3% vänster/51.7% höger","0.0","9,768","Nej","00:00:52.3","6","01:01:20","01:01:23","--","--"
Löpband,2023-12-09 16:18:13,false,"Löpband","10.00","931","01:14:02","155","164","3.4","161","169","7:24","6:03","--","--","0.90","7.7","7.1","278","48.2% vänster/51.8% höger","0.0","11,836","Nej","00:07:46.7","7","01:14:01","01:14:02","--","--"
Löpband,2023-12-06 19:49:01,false,"Löpband","9.90","1,007","01:04:56","177","199","5.0","164","176","6:34","5:05","--","--","0.99","7.7","7.7","277","48.8% vänster/51.2% höger","0.0","10,552","Nej","00:01:06.7","9","01:04:48","01:04:57","--","--"
Löpning,2023-12-01 15:34:48,false,"Borås Löpning","18.00","1,592","02:18:46","154","174","4.0","164","185","7:43","5:50","110","111","0.79","7.7","6.2","313","48.5% vänster/51.5% höger","0.0","22,512","Nej","00:00:01.2","19","02:18:43","02:18:46","129","167"
Löpning,2023-11-29 12:51:44,false,"Borås Löpning","11.00","1,002","01:26:12","157","166","3.2","162","181","7:50","6:11","58","58","0.79","8.8","7.1","313","47.7% vänster/52.3% höger","0.0","13,848","Nej","00:00:01.6","12","01:26:09","01:26:12","132","166"
Löpning,2023-11-25 16:59:37,false,"Borås Löpning","10.25","938","01:14:50","155","168","3.4","163","200","7:18","2:05","62","63","0.84","8.2","7.0","282","48.7% vänster/51.3% höger","0.0","12,072","Nej","00:02:07.0","11","01:14:14","01:15:37","132","170"
Löpning,2023-11-23 17:55:19,false,"Borås Löpning","12.10","1,141","01:29:51","157","171","3.6","161","177","7:25","6:00","78","83","0.83","8.6","7.3","294","48.7% vänster/51.3% höger","0.0","14,332","Nej","00:00:49.2","13","01:29:49","01:29:57","128","171"
Löpning,2023-11-20 19:26:49,false,"Borås Löpning","4.10","396","00:28:36","156","168","3.0","162","185","6:59","5:30","48","66","0.88","8.1","7.2","286","48.8% vänster/51.2% höger","0.0","4,590","Nej","00:00:42.5","5","00:28:34","00:28:36","114","154"
