Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2025-12-29 18:16:49,false,"Göteborg Löpning","2.78","260","00:19:31","154","165","2.4","171","188","7:01","5:02","21","31","0.83","7.5","6.4","277","48.5% vänster/51.5% höger","0.0","3,296","Nej","00:05:28.3","3","00:19:30","00:19:31","47","65"
Löpning,2025-12-27 19:42:22,false,"Göteborg - halv norska 4/3 * 2","5.00","440","00:34:16","154","182","3.1","169","192","6:51","4:49","43","52","0.86","7.6","6.5","285","48.2% vänster/51.8% höger","0.0","5,728","Nej","00:02:14.5","8","00:34:15","00:35:35","47","73"
Löpband,2025-12-23 17:34:37,false,"halv norska 4/3 * 2","5.00","518","00:34:46","167","199","3.8","172","189","6:57","4:38","--","--","0.98","6.5","6.6","265","48.8% vänster/51.2% höger","0.0","5,898","Nej","00:03:00","6","00:34:46","00:34:46","--","--"
Löpning,2025-12-21 17:24:01,false,"Göteborg Löpning","5.00","453","00:34:12","156","172","3.0","169","190","6:50","6:02","32","39","0.85","7.3","6.4","272","48.1% vänster/51.9% höger","0.0","5,726","Nej","00:00:00.8","6","00:34:10","00:34:12","47","65"
Löpning,2025-12-19 13:27:05,false,"Göteborg - norska 4/3 * 4","7.26","687","00:45:59","174","201","4.8","171","187","6:20","4:33","112","114","0.91","7.0","6.5","286","48.0% vänster/52.0% höger","0.0","7,746","Nej","00:03:00","11","00:45:53","00:47:01","47","65"
Löpning,2025-12-16 21:21:13,false,"Göteborg - halv norska 4/3 * 2","4.93","453","00:33:58","162","193","3.6","171","190","6:53","4:38","41","46","0.84","6.8","5.8","302","47.7% vänster/52.3% höger","0.0","5,734","Nej","00:03:00","7","00:33:50","00:34:45","47","65"
Löpning,2025-12-14 17:54:24,false,"Göteborg Löpning","6.50","665","00:48:03","169","196","3.6","171","191","7:23","5:58","148","108","0.78","7.6","6.1","296","48.0% vänster/52.0% höger","0.0","8,098","Nej","00:04:19.4","7","00:47:48","00:48:15","46","101"
Löpning,2025-12-10 20:35:13,false,"Göteborg - norska 4/3 * 4","7.40","671","00:47:29","170","199","4.1","172","206","6:25","4:18","49","58","0.90","7.4","6.8","277","48.3% vänster/51.7% höger","0.0","8,032","Nej","00:03:00","11","00:47:11","00:49:01","47","64"
Löpning,2025-12-07 22:09:45,false,"Göteborg - halv norska 4/3 * 2","4.50","412","00:29:39","166","195","3.4","171","186","6:35","4:38","13","24","0.88","7.6","6.8","282","48.0% vänster/52.0% höger","0.0","5,012","Nej","00:02:55.8","7","00:29:31","00:30:22","47","64"
Löpning,2025-12-03 14:34:35,false,"Göteborg Löpning","7.55","780","00:54:13","176","200","3.9","171","196","7:11","6:00","155","156","0.80","7.5","6.2","288","48.6% vänster/51.4% höger","0.0","9,146","Nej","00:04:44.5","8","00:54:12","00:54:13","60","101"
Löpning,2025-11-25 09:46:12,false,"Göteborg Löpning","10.01","1,001","01:11:51","170","195","3.8","170","193","7:11","4:54","175","171","0.81","7.7","6.3","292","48.1% vänster/51.9% höger","0.0","12,040","Nej","00:00:03.6","11","01:11:49","01:11:51","61","101"
Löpning,2025-11-20 16:57:59,false,"Göteborg Löpning","7.50","778","00:57:32","169","189","3.4","169","213","7:40","3:54","146","148","0.76","8.0","6.2","300","48.4% vänster/51.6% höger","0.0","9,534","Nej","00:04:21.3","8","00:57:31","00:57:32","61","101"
Löpning,2025-11-18 19:54:38,false,"Göteborg - norska 4/3 * 4","7.31","698","00:47:40","172","200","4.0","171","192","6:32","3:48","78","80","0.89","7.1","6.5","284","49.1% vänster/50.9% höger","0.0","8,026","Nej","00:00:29.5","12","00:47:34","00:48:12","50","99"
Löpning,2025-11-14 10:23:07,false,"Mölndal - norska 4/3 * 4","7.40","702","00:48:59","173","199","4.2","171","188","6:37","4:35","33","53","0.88","6.9","6.2","281","49.7% vänster/50.3% höger","0.0","8,264","Nej","00:03:00","11","00:48:54","00:49:39","-5","58"
Löpning,2025-11-12 14:46:34,false,"Göteborg Löpning","5.01","493","00:36:59","159","177","3.2","167","186","7:23","1:51","76","78","0.80","7.9","6.5","288","48.4% vänster/51.6% höger","0.0","6,130","Nej","00:00:02.8","6","00:36:59","00:36:59","50","99"
Löpning,2025-11-10 17:28:20,false,"Göteborg Löpning","7.55","759","00:54:44","169","192","3.7","170","202","7:15","6:01","141","141","0.80","8.0","6.6","279","48.3% vänster/51.7% höger","0.0","9,184","Nej","00:04:35.0","8","00:54:39","00:54:44","61","101"
Löpning,2025-11-08 19:36:39,false,"Göteborg - norska 4/3 * 3","6.30","592","00:42:14","168","195","4.1","170","189","6:42","4:35","60","69","0.87","7.3","6.5","292","48.6% vänster/51.4% höger","0.0","7,094","Nej","00:00:01.6","12","00:42:10","00:43:01","50","98"
Löpning,2025-11-05 15:20:27,false,"Göteborg Löpning","5.01","490","00:39:08","160","190","3.2","165","203","7:49","5:32","135","138","0.74","8.1","6.1","305","48.5% vänster/51.5% höger","0.0","6,372","Nej","00:00:03.2","6","00:39:07","00:39:08","61","141"
Löpning,2025-11-03 09:42:38,false,"Göteborg Löpning","5.00","522","00:36:51","177","202","3.8","167","187","7:22","5:16","105","103","0.80","8.0","6.5","292","48.6% vänster/51.4% höger","0.0","6,052","Nej","00:00:01.0","6","00:36:37","00:36:51","60","140"
Löpning,2025-11-01 19:06:37,false,"Göteborg Löpning","3.65","355","00:28:06","158","181","3.0","165","177","7:42","5:11","57","36","0.78","7.7","6.1","310","48.7% vänster/51.3% höger","0.0","4,580","Nej","00:04:36.4","4","00:27:54","00:30:06","44","99"
Löpning,2025-10-29 13:21:20,false,"Göteborg - halv norska 4/3 * 2","6.70","649","00:45:19","172","200","4.2","167","183","6:46","5:06","32","95","0.88","8.1","7.2","282","48.5% vänster/51.5% höger","0.0","7,436","Nej","00:00:20.4","10","00:45:00","00:46:12","10","99"
Löpning,2025-10-27 17:31:59,false,"Göteborg Löpning","6.31","658","00:48:52","172","195","3.7","165","191","7:45","4:59","157","160","0.77","8.6","6.7","295","48.7% vänster/51.3% höger","0.0","7,968","Nej","00:02:39.7","7","00:48:39","00:48:52","60","135"
Löpning,2025-10-25 10:30:38,false,"Mölndal Löpning","5.00","498","00:35:19","174","190","3.6","167","190","7:04","5:55","68","62","0.84","8.4","7.2","277","49.3% vänster/50.7% höger","0.0","5,808","Nej","00:06:36.9","5","00:35:18","00:35:19","46","88"
Löpning,2025-10-22 18:37:38,false,"Göteborg Löpning","3.26","330","00:22:08","175","190","3.4","167","179","6:47","2:40","59","43","0.85","8.2","7.1","281","48.7% vänster/51.3% höger","0.0","3,658","Nej","00:01:58.4","4","00:22:07","00:22:08","50","91"
Löpning,2025-10-16 21:00:41,false,"Mölndal Löpning","4.00","393","00:31:43","161","183","3.0","163","183","7:56","6:19","63","63","0.75","9.1","6.9","287","49.1% vänster/50.9% höger","0.0","5,118","Nej","00:07:37.9","4","00:31:41","00:31:43","46","90"
Löpning,2025-09-29 20:24:40,false,"Mölndal Löpning","4.00","383","00:26:40","166","189","3.4","169","185","6:40","5:12","53","55","0.88","8.3","7.4","270","48.4% vänster/51.6% höger","0.0","4,450","Nej","00:00:01.2","5","00:26:40","00:26:40","24","64"
