Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Avg GAP;Avg Run Cadence;Max Run Cadence;Normalized Power® (NP®);L/R Balance;Training Stress Score®;Max Avg Power (20 min);Avg Power;Max Power;Total Strokes;Steps;Body Battery Drain;Decompression;Best Lap Time;Number of Laps;Avg Resp;Min Resp;Max Resp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Cycling;2025-07-27 15:57;FALSE;Kungsbacka Cycling;30.02;853;01:01:13;141;166;3.1;--;--;29.4;49.0;194;185;--;--;--;--;--;85;108;220;51% L / 49% R;67.4;214;207;548;5155;--;-8;No;00:00:02.2;7;31;20;45;01:01:12;01:01:13;2;35
Running;2025-07-26 17:39;FALSE;Kungsbacka Running;10.01;693;00:47:07;157;183;4.0;165;177;04:42;03:45;67;73;1.29;7.8;10.1;258;04:41;--;--;401;--;0.0;--;393;629;--;7,754;--;No;00:00:01.6;11;--;--;--;00:47:02;00:47:56;11;36
Running;2025-07-21 15:36;FALSE;Partille Running;10.00;703;00:45:40;169;192;4.3;167;183;04:34;03:31;41;48;1.31;7.7;10.0;253;04:35;--;--;393;--;0.0;--;390;505;--;7,616;-9;No;00:00:00.9;11;--;--;--;00:45:38;00:45:40;8;32
Cycling;2025-07-19 16:56;FALSE;Kungsbacka Cycling;25.01;707;00:49:06;154;171;3.3;--;--;30.6;47.3;167;164;--;--;--;--;--;86;109;229;52% L / 48% R;61.4;222;215;519;4153;--;-8;No;00:00:03.3;6;35;19;43;00:49:04;00:49:06;4;36
Running;2025-07-18 16:27;FALSE;Kungsbacka Running;10.01;710;00:46:56;166;188;4.2;165;176;04:41;04:01;65;68;1.29;7.8;10.1;258;04:41;--;--;386;--;0.0;--;382;477;--;7,726;-10;No;00:00:01.4;11;--;--;--;00:46:52;00:47:28;6;37
Cycling;2025-07-17 15:20;FALSE;Kungsbacka Cycling;30.01;825;00:58:48;151;170;3.3;--;--;30.6;49.9;142;155;--;--;--;--;--;87;113;220;52% L / 48% R;67.7;217;208;684;5087;--;-13;No;00:00:01.4;7;33;19;43;00:58:44;01:13:55;1;36
Running;2025-07-14 18:10;FALSE;Kungsbacka - Threshold;10.64;761;00:48:02;171;191;4.6;167;179;04:31;03:24;59;55;1.32;7.6;10.0;251;04:31;--;--;406;--;0.0;--;400;527;--;7,998;-14;No;00:00:01.7;12;--;--;--;00:47:56;00:50:42;6;37
Cycling;2025-07-13 18:44;FALSE;Kungsbacka Cycling;30.00;781;01:11:04;123;138;2.5;--;--;25.3;44.7;169;174;--;--;--;--;--;81;107;170;53% L / 47% R;48.7;168;158;393;5688;--;-2;No;00:00:01.2;7;29;19;45;01:11:02;01:11:53;4;36
Running;2025-07-12 20:04;FALSE;Kungsbacka Running;10.01;702;00:49:45;153;174;3.6;163;173;04:58;04:10;66;66;1.23;8.1;10.0;266;04:58;--;--;368;--;0.0;--;365;512;--;8,168;--;No;00:00:01.5;11;--;--;--;00:49:37;00:51:34;9;35
Cycling;2025-07-08 12:34;FALSE;Kungsbacka Cycling;40.02;1,177;01:30:20;144;164;3.6;--;--;26.6;53.6;241;237;--;--;--;--;--;82;121;212;53% L / 47% R;96.5;212;192;823;7241;--;-19;No;00:00:02.1;9;31;20;47;01:30:02;01:37:33;2;47
Running;2025-07-07 21:03;FALSE;Kungsbacka Running;10.01;711;00:48:57;158;177;3.8;166;177;04:54;01:02;72;72;1.24;8.0;9.9;261;04:52;--;--;377;--;0.0;--;372;2,394;--;8,094;-9;No;00:00:01.9;11;--;--;--;00:48:53;00:48:57;6;38
Running;2025-07-06 19:35;FALSE;Kungsbacka Running;10.00;722;00:50:47;155;175;3.7;163;176;05:05;04:23;71;68;1.20;8.2;9.8;267;05:04;--;--;366;--;0.0;--;362;516;--;8,278;-8;No;00:00:00.5;11;--;--;--;00:50:45;00:50:47;8;37
Cycling;2025-07-02 14:25;FALSE;Kungsbacka Cycling;30.01;869;01:01:19;155;173;3.5;--;--;29.4;49.1;163;157;--;--;--;--;--;86;112;225;52% L / 48% R;70.9;230;211;510;5216;--;-14;No;00:00:02.0;7;36;22;50;01:01:17;01:01:19;5;38
Running;2025-06-30 21:34;FALSE;Kungsbacka Running;10.01;712;00:50:56;151;191;3.5;164;179;05:05;03:26;69;65;1.19;8.2;9.7;267;05:05;--;--;371;--;0.0;--;365;616;--;8,322;-8;No;00:00:01.4;11;--;--;--;00:50:52;00:53:43;10;36
Cycling;2025-06-28 18:47;FALSE;Kungsbacka Cycling;30.01;865;01:03:36;149;175;3.2;--;--;28.3;50.6;204;196;--;--;--;--;--;85;123;218;52% L / 48% R;69.0;223;201;744;5265;--;-10;No;00:00:02.1;7;32;20;46;01:03:30;01:05:46;2;38
Running;2025-06-27 19:39;FALSE;Kungsbacka Running;10.00;711;00:53:03;147;166;3.3;164;179;05:18;04:39;73;88;1.15;8.3;9.6;270;05:17;--;--;364;--;0.0;--;360;470;--;8,678;-10;No;00:00:03.2;11;--;--;--;00:52:58;00:53:03;6;39
Running;2025-06-24 20:02;FALSE;Kungsbacka Running;10.00;722;00:50:43;151;167;3.4;165;179;05:04;04:19;78;75;1.20;8.1;9.7;264;05:02;--;--;381;--;0.0;--;376;557;--;8,352;-10;No;00:00:00.9;11;--;--;--;00:50:39;01:06:08;11;38
Running;2025-06-22 19:17;FALSE;Kungsbacka Running;10.01;735;00:48:05;163;177;4.0;166;178;04:48;04:05;76;74;1.25;7.9;9.8;259;04:47;--;--;395;--;0.0;--;390;597;--;7,972;-1;No;00:00:01.5;11;--;--;--;00:48:02;00:48:05;11;38
Cycling;2025-06-21 16:42;FALSE;Kungsbacka Cycling;41.21;1,16;01:29:19;135;162;3.2;--;--;27.7;54.1;274;272;--;--;--;--;--;79;117;209;51% L / 49% R;92.3;207;191;607;6908;--;-12;No;00:02:29.8;9;31;13;42;01:29:17;01:34:16;4;53
Running;2025-06-16 11:29;FALSE;Kos Running;15.09;1,14;01:18:20;160;174;4.1;163;180;05:12;03:59;57;79;1.18;8.1;9.5;263;05:10;--;--;358;--;0.0;--;354;555;--;12,834;-21;No;00:00:49.3;16;--;--;--;01:17:39;01:34:56;1;61
Running;2025-06-14 14:42;FALSE;Kos Running;10.00;805;00:53:43;167;186;3.9;154;188;05:22;03:18;281;274;1.19;7.8;9.2;260;05:09;--;--;390;--;0.0;--;365;604;--;8,336;-11;No;00:00:01.0;11;--;--;--;00:52:24;01:16:34;60;332
Running;2025-06-12 14:46;FALSE;Kungsbacka Running;15.01;1,094;01:16:03;156;177;4.1;165;177;05:04;04:08;80;96;1.19;8.1;9.7;265;05:05;--;--;372;--;0.0;--;369;534;--;12,504;-17;No;00:00:01.7;16;--;--;--;01:15:58;01:16:21;6;38
Virtual Cycling;2025-06-10 20:41;FALSE;Zwift - Road to Sky in Watopia;18.15;935;01:19:51;155;183;3.7;--;--;13.6;54.7;1,059;--;--;--;--;--;--;72;116;213;--;0.0;224;204;450;--;--;--;No;01:19:51;1;--;--;--;01:19:35;01:21:39;7;1,047
Cycling;2025-06-08 17:43;FALSE;Kungsbacka Cycling;40.01;1,17;01:30:43;144;173;3.3;--;--;26.5;56.8;335;335;--;--;--;--;--;80;114;211;52% L / 48% R;92.6;218;189;662;7103;--;-7;No;00:00:01.4;9;30;20;41;01:30:40;01:40:42;3;48
Running;2025-06-06 16:59;FALSE;Kungsbacka Running;15.00;1,09;01:17:59;152;167;3.7;164;180;05:12;04:19;113;115;1.17;8.2;9.6;268;05:11;--;--;370;--;0.0;--;366;540;--;12,754;-16;No;00:00:01.5;16;--;--;--;01:17:56;01:17:59;4;35
Cycling;2025-06-04 15:36;FALSE;Kungsbacka Cycling;35.06;1,005;01:16:15;137;159;3.2;--;--;27.6;42.1;204;204;--;--;--;--;--;81;108;208;52% L / 48% R;79.0;218;194;592;6099;--;-14;No;00:00:06.4;8;30;20;39;01:16:05;01:16:17;2;37
Running;2025-06-02 12:24;FALSE;Kungsbacka Running;10.01;748;00:52:13;149;168;3.4;165;181;05:13;04:43;67;68;1.16;8.2;9.5;268;05:12;--;--;379;--;0.0;--;374;561;--;8,572;-13;No;00:00:01.6;11;--;--;--;00:52:11;00:52:13;10;35
Running;2025-05-31 18:39;FALSE;Kungsbacka Running;10.00;757;00:52:54;151;173;3.4;164;176;05:17;04:39;69;67;1.15;8.3;9.5;270;05:16;--;--;372;--;0.0;--;366;497;--;8,666;--;No;00:00:01.2;11;--;--;--;00:52:53;00:52:54;6;37
Running;2025-05-29 18:11;FALSE;Kungsbacka Running;15.00;1,107;01:22:25;148;166;3.6;161;178;05:30;04:37;84;80;1.14;8.5;9.7;279;05:29;--;--;349;--;0.0;--;346;533;--;13,22;-17;No;00:00:01.3;16;--;--;--;01:22:14;01:22:49;5;35
Virtual Cycling;2025-05-28 21:12;FALSE;Zwift - Cruise Intervals #1 on London 8 in London;24.06;475;00:54:40;128;153;2.5;--;--;26.4;77.3;298;--;--;--;--;--;--;81;99;167;--;0.0;179;151;301;--;--;--;No;00:00:10;44;--;--;--;00:54:36;00:54:39;3;156
Virtual Cycling;2025-05-27 17:38;FALSE;Thio Virtual Cycling;21.56;340;00:42:26;123;169;2.5;--;--;30.5;46.7;98;--;--;--;--;--;--;71;121;183;--;0.0;161;140;406;--;--;--;No;00:00:10;33;--;--;--;00:42:25;00:42:25;10;34
Virtual Cycling;2025-05-26 14:24;FALSE;Zwift - Road to Sky in Watopia;18.06;914;01:25:55;148;177;3.5;--;--;12.6;52.4;1,058;--;--;--;--;--;--;79;114;196;--;0.0;206;185;372;--;--;--;No;01:25:55;1;--;--;--;01:25:37;01:27:39;7;1,047
Running;2025-05-24 20:47;FALSE;Kungsbacka Running;10.00;759;00:48:42;163;182;4.2;164;187;04:52;03:38;69;69;1.26;7.9;10.0;264;04:50;--;--;395;--;0.0;--;389;576;--;7,94;--;No;00:00:01.2;11;--;--;--;00:48:40;00:48:42;11;37
Running;2025-05-22 19:52;FALSE;Kungsbacka Running;10.00;748;00:49:52;157;176;3.8;164;174;04:59;04:33;71;70;1.22;8.0;9.8;265;04:58;--;--;386;--;0.0;--;379;518;--;8,192;-11;No;00:00:01.6;11;--;--;--;00:49:51;00:49:52;6;38
Cycling;2025-05-20 14:03;FALSE;Kungsbacka Cycling;60.02;1,709;02:14:48;140;168;3.5;--;--;26.7;51.5;462;472;--;--;--;--;--;83;126;200;51% L / 49% R;114.2;209;186;501;11092;--;-28;No;00:00:03.1;13;30;19;46;02:14:44;02:58:29;3;53
Virtual Cycling;2025-05-19 20:11;FALSE;Zwift - SST (Short) on Ocean Lava Cliffside Loop in Watopia;25.13;499;00:50:12;139;162;2.6;--;--;30.0;67.8;193;--;--;--;--;--;--;89;99;182;--;0.0;193;173;263;--;--;--;No;00:00:11;11;--;--;--;00:50:07;00:50:11;-6;100
Virtual Cycling;2025-05-16 21:31;FALSE;Zwift - Over - Unders on Greater London Flat in London;17.74;306;00:33:19;136;166;2.3;--;--;31.9;48.0;72;--;--;--;--;--;--;84;100;180;--;0.0;191;160;282;--;--;--;No;00:00:18;17;--;--;--;00:33:18;00:33:18;11;31
Virtual Cycling;2025-05-15 14:37;FALSE;Zwift - Circus on Douce France in France;30.16;520;01:00:09;138;171;3.0;--;--;30.1;54.7;193;--;--;--;--;--;--;83;124;178;--;0.0;181;150;521;--;--;--;No;00:00:08;132;--;--;--;01:00:05;01:00:08;10;34
Running;2025-05-13 18:55;FALSE;Kungsbacka Running;10.01;746;00:44:37;171;187;4.7;165;177;04:28;03:34;111;78;1.36;7.6;10.2;253;04:28;--;--;435;--;0.0;--;430;623;--;7,36;--;No;00:00:01.3;11;--;--;--;00:44:34;00:44:37;9;37
Virtual Cycling;2025-05-11 16:01;FALSE;Zwift - LOX on London 8 in London;26.23;507;01:00:14;130;170;2.6;--;--;26.1;75.3;305;--;--;--;--;--;--;87;120;179;--;0.0;174;147;343;--;--;--;No;00:00:14;21;--;--;--;01:00:09;01:00:13;3;156
Virtual Cycling;2025-05-10 18:48;FALSE;Zwift - Grin And Bear It on Flat Route in Watopia;21.35;370;00:40:12;137;171;2.5;--;--;31.9;50.4;125;--;--;--;--;--;--;86;115;180;--;0.0;188;160;299;--;--;--;No;00:00:11;47;--;--;--;00:40:07;00:40:11;-6;23
Virtual Cycling;2025-05-09 07:15;FALSE;Zwift - VO2 Max - 4x3 Ramps on Douce France in France;20.24;331;00:41:16;123;167;2.3;--;--;29.4;47.2;130;--;--;--;--;--;--;79;120;176;--;0.0;168;140;414;--;--;--;No;00:00:01;23;--;--;--;00:41:15;00:41:15;10;34
Running;2025-05-06 09:05;FALSE;Rome Running;6.01;432;00:30:28;145;171;3.1;161;176;05:04;03:21;49;49;1.23;7.9;9.7;262;04:57;--;--;384;--;0.0;--;379;554;--;4,916;-12;No;00:00:02.1;7;--;--;--;00:30:16;00:39:43;31;67
Running;2025-05-03 08:32;FALSE;Rome Running;6.28;454;00:32:41;145;178;3.1;158;177;05:12;03:26;99;57;1.21;8.1;9.7;268;05:09;--;--;378;--;0.0;--;368;566;--;5,226;-12;No;00:01:24.0;7;--;--;--;00:32:16;00:39:44;26;54
Running;2025-04-26 16:58;FALSE;Kungsbacka Running;15.01;1,09;01:16:11;152;176;3.7;164;183;05:05;03:56;152;84;1.20;8.1;9.7;266;05:04;--;--;379;--;0.0;--;372;524;--;12,496;-14;No;00:00:02.1;16;--;--;--;01:16:07;01:30:30;5;36
Cycling;2025-04-24 19:31;FALSE;Kungsbacka Cycling;30.04;853;01:05:18;131;148;2.7;--;--;27.6;41.8;154;148;--;--;--;--;--;84;108;202;52% L / 48% R;56.3;203;192;422;5468;--;-11;No;00:00:05.4;7;30;17;46;01:05:16;01:11:53;3;35
Virtual Cycling;2025-04-23 20:00;FALSE;Zwift - FTP w/ Bursts on R.G.V. in France;28.47;487;00:53:28;131;164;2.7;--;--;32.0;50.0;131;--;--;--;--;--;--;79;96;181;--;0.0;210;159;323;--;--;--;No;00:00:10;34;--;--;--;00:53:24;00:53:27;10;34
Running;2025-04-22 19:35;FALSE;Kungsbacka Running;10.01;747;00:51:16;154;175;3.6;163;174;05:07;04:32;69;73;1.19;8.2;9.8;269;05:07;--;--;375;--;0.0;--;370;511;--;8,338;-9;No;00:00:02.3;11;--;--;--;00:51:13;00:51:16;7;38
Virtual Cycling;2025-04-21 15:39;FALSE;Zwift - Power Intervals #1 on Suki s Playground in Makuri Islands;25.77;479;00:56:09;129;175;2.7;--;--;27.5;56.1;218;--;--;--;--;--;--;75;96;192;--;0.0;174;148;366;--;--;--;No;00:00:01;32;--;--;--;00:56:04;00:56:08;65;140
Running;2025-04-18 14:50;FALSE;Kungsbacka Running;10.01;741;00:52:18;152;175;3.4;166;179;05:14;03:43;68;63;1.16;8.2;9.5;267;05:12;--;--;375;--;0.0;--;370;582;--;8,666;-12;No;00:00:02.2;11;--;--;--;00:52:14;00:52:18;6;38
Cycling;2025-04-17 15:07;FALSE;Kungsbacka Cycling;62.52;1,713;02:29:46;129;168;3.3;--;--;25.0;58.9;463;466;--;--;--;--;--;81;117;178;51% L / 49% R;0.0;187;165;430;11856;--;-21;No;00:06:43.4;13;28;13;41;02:29:42;02:36:53;2;52
Running;2025-04-16 20:08;FALSE;Kungsbacka Running;6.00;457;00:31:29;155;172;3.1;164;177;05:15;04:32;44;42;1.16;8.2;9.6;269;05:13;--;--;369;--;0.0;--;362;507;--;5,148;-10;No;00:00:01.6;7;--;--;--;00:31:25;00:31:32;15;34
Virtual Cycling;2025-04-15 19:58;FALSE;Zwift - VO2 Blast on Jungle Circuit in Watopia;18.28;382;00:45:18;125;160;2.4;--;--;24.2;51.4;178;--;--;--;--;--;--;76;102;166;--;0.0;167;147;291;--;--;--;No;00:00:17;15;--;--;--;00:45:13;00:45:17;0;100
Running;2025-04-13 14:47;FALSE;Kungsbacka Running;10.01;761;00:50:28;160;184;3.9;165;179;05:03;04:11;80;80;1.20;8.1;9.6;265;05:01;--;--;394;--;0.0;--;386;571;--;8,332;-9;No;00:00:01.7;11;--;--;--;00:50:25;00:50:28;8;37
Virtual Cycling;2025-04-11 07:53;FALSE;Zwift - Le Col - Training With Legends - Dame Sarah Storey - VO2 Surges on Flat Route in Watopia;12.10;202;00:24:19;125;149;2.1;--;--;29.9;50.8;67;--;--;--;--;--;--;78;117;173;--;0.0;159;145;323;--;--;--;No;00:00:15;32;--;--;--;00:24:17;00:24:18;-6;23
Running;2025-04-10 07:53;FALSE;Kungsbacka Running;6.01;445;00:28:47;161;177;3.4;169;181;04:47;04:07;42;44;1.24;7.8;9.6;255;04:46;--;--;400;--;0.0;--;394;548;--;4,832;-8;No;00:00:01.9;7;--;--;--;00:28:45;00:28:47;13;32
Virtual Cycling;2025-04-09 07:48;FALSE;Zwift - Le Col - Training With Legends - Dame Sarah Storey - 8.5 Minutes Of Pain on Cobbled Climbs in Richmond;11.96;219;00:26:48;128;163;2.3;--;--;26.8;63.4;140;--;--;--;--;--;--;77;118;183;--;0.0;158;143;384;--;--;--;No;00:00:17;20;--;--;--;00:26:47;00:26:47;4;55
Running;2025-04-08 19:43;FALSE;Kungsbacka Running;6.01;441;00:28:07;163;182;3.4;169;179;04:41;03:57;43;41;1.27;7.7;9.7;253;04:39;--;--;410;--;0.0;--;403;553;--;4,74;-5;No;00:00:01.9;7;--;--;--;00:28:05;00:28:07;14;34
Virtual Cycling;2025-04-07 18:07;FALSE;Zwift - Le Col - Training With Legends - Fabian Cancellara - Anaerobic Blasts on Suki s Playground in Makuri Islands;12.07;216;00:26:46;123;160;2.0;--;--;27.1;50.6;101;--;--;--;--;--;--;69;111;221;--;0.0;149;140;498;--;--;--;No;00:00:01;16;--;--;--;00:26:45;00:26:45;65;140
Running;2025-04-05 16:19;FALSE;Kungsbacka Running;7.55;561;00:38:59;150;166;3.3;170;182;05:10;04:41;49;61;1.14;8.0;9.2;260;05:11;--;--;383;--;0.0;--;378;527;--;6,602;-9;No;00:02:45.3;8;--;--;--;00:38:57;00:38:59;3;36
Virtual Cycling;2025-04-04 18:29;FALSE;Zwift - Douce France in France;23.81;406;00:45:16;130;147;2.3;--;--;31.6;48.0;131;--;--;--;--;--;--;85;120;162;--;0.0;170;156;269;--;--;--;No;00:00:01;2;--;--;--;00:45:15;00:45:15;10;34
Virtual Cycling;2025-04-03 20:14;FALSE;Zwift - Downtown Eruption in Watopia;23.20;491;00:45:22;143;165;3.1;--;--;30.7;61.5;297;--;--;--;--;--;--;84;118;195;--;0.0;199;188;303;--;--;--;No;00:00:01;2;--;--;--;00:45:21;00:45:21;1;132
Running;2025-04-01 19:32;FALSE;Gothenburg Running;10.01;727;00:53:27;144;166;3.2;169;188;05:20;04:21;80;38;1.11;8.1;9.0;262;05:18;--;--;352;--;0.0;--;347;518;--;9,058;-18;No;00:00:02.2;11;--;--;--;00:53:14;00:59:36;5;37
Running;2025-03-31 11:12;FALSE;Kungsbacka Running;6.01;437;00:27:32;166;182;3.5;170;181;04:35;04:06;43;44;1.28;7.5;9.6;249;04:33;--;--;424;--;0.0;--;416;575;--;4,722;-7;No;00:00:01.4;7;--;--;--;00:27:31;00:27:32;14;32
Virtual Cycling;2025-03-30 17:14;FALSE;Zwift - Triple Twist in Watopia;24.72;477;00:45:19;137;165;2.9;--;--;32.7;68.6;203;--;--;--;--;--;--;86;116;189;--;0.0;191;183;311;--;--;--;No;00:45:19;1;--;--;--;00:45:16;00:45:18;1;58
Running;2025-03-29 14:10;FALSE;Kungsbacka Running;7.50;555;00:38:54;152;175;3.3;169;177;05:11;04:44;65;61;1.15;8.1;9.3;262;05:09;--;--;380;--;0.0;--;372;508;--;6,544;-7;No;00:02:37.1;8;--;--;--;00:38:52;00:38:54;7;39
Virtual Cycling;2025-03-28 18:23;FALSE;Zwift - INEOS Grenadiers Virtual Training Camp | The Geoghegan Hart on Greater London Flat in London;21.24;353;00:42:10;130;156;2.4;--;--;30.2;46.9;91;--;--;--;--;--;--;83;117;165;--;0.0;175;146;354;--;--;--;No;00:00:09;18;--;--;--;00:42:06;00:42:09;11;31
Running;2025-03-27 19:42;FALSE;Kungsbacka - W1 Thu Intervals - 1km Repeats (;6.00;455;00:31:20;159;187;3.3;166;179;05:13;04:02;41;38;1.15;8.2;9.3;265;05:11;--;--;385;--;0.0;--;368;574;--;5,196;-11;No;00:00:25.1;10;--;--;--;00:31:15;00:31:20;13;33
Running;2025-03-26 18:55;FALSE;Kungsbacka - W1 Wed Easy Run - 5km Easy Run (;5.01;357;00:27:33;139;155;2.6;166;176;05:30;05:05;61;57;1.10;8.4;9.2;271;05:27;--;--;358;--;0.0;--;349;485;--;4,558;-5;No;00:00:02.0;6;--;--;--;00:27:30;00:27:33;12;40
Running;2025-03-23 12:02;FALSE;Kungsbacka Running;15.01;1,128;01:20:01;156;176;3.9;165;178;05:20;04:33;101;94;1.14;8.1;9.2;265;05:15;--;--;364;--;0.0;--;354;586;--;13,194;-17;No;00:00:01.3;16;--;--;--;01:19:59;01:20:01;2;28
Virtual Cycling;2025-03-21 11:54;FALSE;Zwift - Breakfast Returns on Tempus Fugit in Watopia;31.04;454;01:00:17;128;157;2.7;--;--;30.9;44.0;47;--;--;--;--;--;--;79;121;163;--;0.0;167;131;370;--;--;--;No;00:00:17;73;--;--;--;01:00:13;01:00:16;13;18
Running;2025-03-20 11:23;FALSE;Kungsbacka Running;10.00;755;00:54:12;153;175;3.5;168;181;05:25;04:33;66;57;1.10;8.2;9.1;266;05:23;--;--;359;--;0.0;--;353;508;--;9,06;-15;No;00:00:00.9;11;--;--;--;00:54:11;00:54:12;4;33
Virtual Cycling;2025-03-19 19:05;FALSE;Zwift - FTP Test [Standard] on Classique in London;24.45;425;00:45:30;141;176;3.1;--;--;32.2;47.4;111;--;--;--;--;--;--;78;101;186;--;0.0;203;163;350;--;--;--;No;00:00:20;11;--;--;--;00:45:26;00:45:29;12;26
Running;2025-03-18 16:18;FALSE;Kungsbacka - VO2 Max;8.01;605;00:40:40;161;179;3.8;166;179;05:05;03:50;47;43;1.18;8.1;9.4;264;05:03;--;--;400;--;0.0;--;381;531;--;6,696;-9;No;00:00:40.3;18;--;--;--;00:40:38;00:40:47;11;34
Running;2025-03-16 12:06;FALSE;Kungsbacka Running;10.00;750;00:52:34;154;174;3.6;165;176;05:15;04:39;83;81;1.16;8.2;9.5;268;05:14;--;--;370;--;0.0;--;364;573;--;8,642;-12;No;00:00:00.6;11;--;--;--;00:52:31;00:52:34;3;37
Virtual Cycling;2025-03-15 14:06;FALSE;Zwift - 3/3/2min VO2max on Mighty Metropolitan in New York;20.23;431;00:50:54;136;173;2.9;--;--;23.8;80.0;326;--;--;--;--;--;--;76;113;183;--;0.0;162;147;371;--;--;--;No;00:00:20;20;--;--;--;00:50:43;00:50:54;5;133
Running;2025-03-13 07:28;FALSE;Kungsbacka Running;6.01;441;00:31:18;150;162;3.1;163;179;05:13;04:10;44;44;1.18;8.1;9.5;265;05:08;--;--;372;--;0.0;--;361;526;--;5,118;--;No;00:00:01.7;7;--;--;--;00:31:14;00:31:18;12;33
Virtual Cycling;2025-03-12 12:11;FALSE;Zwift - Coast to Coast in Watopia;24.26;435;00:46:08;141;163;2.6;--;--;31.6;57.0;154;--;--;--;--;--;--;82;123;171;--;0.0;171;164;339;--;--;--;No;00:46:08;1;--;--;--;00:46:07;00:46:07;-6;43
Running;2025-03-10 17:37;FALSE;Kungsbacka Running;6.01;453;00:31:48;153;174;3.2;163;176;05:17;04:10;44;41;1.16;8.3;9.6;269;05:15;--;--;371;--;0.0;--;363;530;--;5,19;-7;No;00:00:02.3;7;--;--;--;00:31:39;00:31:48;11;31
Running;2025-03-09 12:20;FALSE;Kungsbacka Running;6.01;458;00:29:05;168;188;3.7;167;181;04:50;04:06;43;41;1.24;7.8;9.7;258;04:49;--;--;396;--;0.0;--;389;536;--;4,844;-6;No;00:00:02.2;7;--;--;--;00:28:59;00:29:05;15;33
Virtual Cycling;2025-03-07 16:03;FALSE;Zwift - Watopia s Waistband in Watopia;24.72;420;00:45:21;141;161;2.5;--;--;32.7;53.8;92;--;--;--;--;--;--;86;120;168;--;0.0;172;161;314;--;--;--;No;00:45:21;1;--;--;--;00:45:17;00:45:46;-6;28
Virtual Cycling;2025-03-06 19:42;FALSE;Zwift - Legends and Lava in Watopia;22.88;425;00:45:14;139;161;2.4;--;--;30.3;56.6;277;--;--;--;--;--;--;81;119;172;--;0.0;170;163;283;--;--;--;No;00:45:14;1;--;--;--;00:45:09;00:45:13;-6;83
Running;2025-03-05 16:32;FALSE;Kungsbacka Running;6.00;462;00:30:57;158;179;3.4;163;174;05:09;04:09;45;113;1.19;8.1;9.6;266;05:07;--;--;375;--;0.0;--;366;504;--;5,07;-7;No;00:00:01.1;7;--;--;--;00:30:46;00:30:57;11;32
Running;2025-03-03 17:07;FALSE;Kungsbacka Running;6.01;483;00:33:51;151;166;3.2;160;241;05:38;04:36;83;79;1.12;8.3;9.2;272;05:28;--;--;365;--;0.0;--;351;536;--;5,428;-7;No;00:00:02.9;7;--;--;--;00:33:37;00:33:51;7;40
Running;2025-03-02 14:14;FALSE;Kungsbacka Running;6.00;414;00:34:00;128;140;2.4;165;177;05:40;05:12;40;39;1.07;8.6;9.2;274;05:38;--;--;346;--;0.0;--;339;499;--;5,576;-7;No;00:00:01.2;7;--;--;--;00:33:59;00:34:00;13;32
Running;2025-02-27 18:17;FALSE;Kungsbacka Running;6.01;466;00:32:31;149;172;3.1;162;176;05:25;04:59;58;61;1.15;8.4;9.6;275;05:22;--;--;361;--;0.0;--;353;490;--;5,242;-8;No;00:00:04.4;7;--;--;--;00:32:29;00:32:31;7;39
Virtual Cycling;2025-01-16 11:25;FALSE;Zwift - Zwift Pro Training Camp: Jumbo-Visma | Wout van Aert: VO2 Max Training in Watopia;11.98;535;00:56:41;129;169;3.0;--;--;12.7;52.3;582;--;--;--;--;--;--;80;110;196;--;0.0;197;164;357;--;--;--;No;00:00:10;26;--;--;--;00:56:35;00:56:40;7;574
Virtual Cycling;2025-01-14 11:44;FALSE;Zwift - Saw Legs in London;33.98;669;01:17:36;120;149;2.6;--;--;26.3;74.7;421;--;--;--;--;--;--;71;136;165;--;0.0;166;150;333;--;--;--;No;00:00:10;24;--;--;--;01:17:21;01:23:18;4;249
Virtual Cycling;2025-01-13 06:04;FALSE;Zwift - Le Col - Training With Legends - Dame Sarah Storey - 8.5 Minutes Of Pain in Watopia;11.69;258;00:26:53;125;158;2.3;--;--;26.1;62.5;167;--;--;--;--;--;--;76;116;209;--;0.0;186;167;393;--;--;--;No;00:00:22;20;--;--;--;00:26:48;00:26:52;1;58
Virtual Cycling;2025-01-12 11:45;FALSE;Zwift - High Intensity/5min in Watopia;24.89;581;00:55:56;139;168;3.2;--;--;26.7;69.0;396;--;--;--;--;--;--;82;117;208;--;0.0;200;181;560;--;--;--;No;00:00:20;30;--;--;--;00:55:55;00:55:55;2;318
Virtual Cycling;2025-01-11 21:05;FALSE;Zwift - Cruise Intervals #4 in Watopia;19.37;614;01:00:19;143;167;3.3;--;--;19.3;78.4;601;--;--;--;--;--;--;82;115;192;--;0.0;197;177;277;--;--;--;No;00:00:59;17;--;--;--;01:00:14;01:00:18;1;381
Virtual Cycling;2025-01-09 11:09;FALSE;Zwift - Long Tempo in Watopia;23.64;486;00:50:20;145;164;3.0;--;--;28.2;59.4;272;--;--;--;--;--;--;88;112;184;--;0.0;185;168;298;--;--;--;No;00:00:19;23;--;--;--;00:50:17;00:50:22;1;132
