Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Avg GAP;Avg Run Cadence;Max Run Cadence;Normalized Power® (NP®);L/R Balance;Training Stress Score®;Max Avg Power (20 min);Avg Power;Max Power;Total Strokes;Steps;Body Battery Drain;Decompression;Best Lap Time;Number of Laps;Avg Resp;Min Resp;Max Resp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;2026-02-07 07:57;FALSE;Kungsbacka Running;10.02;752;00:51:46;160;174;4.2;167;236;05:10;04:33;75;65;1.16;8.1;9.5;262;05:08;--;--;341;--;0.0;--;335;433;--;8,632;-17;No;00:00:05.0;11;--;--;--;00:51:39;00:53:38;6;34
Running;2026-02-04 15:51;FALSE;Kungsbacka Running;10.02;681;00:44:39;164;181;4.6;168;179;04:27;03:22;98;75;1.33;7.6;10.1;249;04:26;--;--;400;--;0.0;--;394;563;--;7,542;-9;No;00:00:05.0;11;--;--;--;00:44:31;00:45:59;2;42
Running;2026-01-31 21:17;FALSE;Kungsbacka Running;10.01;657;00:51:04;141;160;3.4;162;170;05:06;04:15;122;103;1.21;8.3;10.0;268;05:02;--;--;354;--;0.0;--;347;500;--;8,282;-9;No;00:00:06.8;11;--;--;--;00:51:01;00:51:37;3;33
Running;2026-01-29 21:46;FALSE;Kungsbacka Running;10.01;659;00:50:38;144;164;3.5;161;171;05:04;04:27;71;67;1.23;8.3;10.2;271;05:02;--;--;356;--;0.0;--;351;501;--;8,14;-10;No;00:00:02.0;11;--;--;--;00:50:34;00:50:51;9;34
Running;2026-01-26 15:52;FALSE;Kungsbacka Running;6.02;426;00:30:31;149;169;3.4;167;180;05:04;04:25;43;41;1.19;8.1;9.6;262;05:02;--;--;363;--;0.0;--;355;546;--;5,07;-6;No;00:00:08.6;7;--;--;--;00:30:30;00:30:31;12;33
Running;2026-01-14 17:19;FALSE;Ko Pha-Ngan Running;10.02;836;00:56:29;165;188;4.4;155;223;05:38;04:01;250;256;1.16;8.5;9.6;277;05:08;--;--;354;--;0.0;--;334;588;--;8,774;-19;No;00:00:09.7;11;--;--;--;00:56:06;01:05:34;5;164
Virtual Cycling;2026-01-07 11:37;FALSE;Zwift - Escalation on The Highline in New York;40.82;909;01:38:05;146;184;3.4;--;--;25.0;72.6;697;--;--;--;--;--;--;84;116;187;--;0.0;181;161;444;--;--;--;No;00:00:30;68;--;--;--;01:38:01;01:44:35;89;185
Running;2025-12-31 14:54;FALSE;Partille Running;8.02;553;00:34:51;169;187;4.4;168;181;04:21;03:36;36;31;1.37;7.5;10.2;247;04:21;--;--;412;--;0.0;--;408;522;--;5,828;-10;No;00:00:05.7;9;--;--;--;00:34:47;00:34:51;12;31
Running;2025-12-27 08:07;FALSE;Kungsbacka Running;10.02;681;00:52:45;142;162;3.3;163;243;05:16;04:52;71;68;1.17;8.4;9.8;271;05:14;--;--;353;--;0.0;--;349;475;--;8,602;-17;No;00:00:09.5;11;--;--;--;00:52:42;00:52:45;8;36
Virtual Cycling;2025-12-24 11:04;FALSE;Zwift - VO2 Max - 4x3 Ramps on 2018 Worlds Short Lap in Innsbruck;9.91;368;00:41:59;134;180;2.9;--;--;14.2;39.5;380;--;--;--;--;--;--;83;122;193;--;0.0;184;153;607;--;--;--;No;00:00:10;22;--;--;--;00:41:45;00:42:13;280;649
