Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Training Stress Score®,Steg,Totalt antal repetitioner,Totalt antal set,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Cykling,2023-09-10 10:21:34,false,"Göteborg Cykling","26.72","971","02:26:33","111","150","1.9","--","--","10.9","35.0","227","229","--","0.0","--","--","--","Nej","00:15:30","6","01:56:39","02:26:33","5","55"
Cykling,2023-09-08 17:44:25,false,"Göteborg Cykling","18.61","999","01:39:31","134","171","3.0","--","--","11.2","34.3","259","256","--","0.0","--","--","--","Nej","00:09:19.8","4","01:18:37","01:39:34","0","97"
Löpning,2022-07-18 20:40:02,false,"Strömstad Löpning","0.23","63","00:11:25","97","126","0.2","14","208","49:36","3:00","--","--","4.06","0.0","214","--","--","Nej","00:00:15","9","00:01:12","00:11:25","26","27"
Löpning,2022-07-18 20:30:25,false,"Strömstad Löpning","0.19","32","00:04:36.3","107","117","0.2","40","213","23:57","3:04","--","--","1.68","0.0","120","--","--","Nej","00:00:15","9","00:01:01","00:04:36.3","27","27"
Löpning,2022-07-18 20:21:33,false,"Strömstad Löpning","0.31","50","00:05:22.2","119","128","0.4","28","208","17:12","2:39","--","--","2.23","0.0","250","--","--","Nej","00:00:15","9","00:01:41","00:05:22.2","27","27"
Löpning,2022-07-18 20:13:10,false,"Strömstad Löpning","0.31","44","00:04:35.0","124","135","0.4","33","214","14:44","2:22","--","--","2.29","0.0","322","--","--","Nej","00:00:15","9","00:02:08","00:04:35.0","26","28"
Löpning,2022-07-18 19:59:35,false,"Strömstad Löpning","0.99","142","00:10:53","146","179","2.1","47","213","10:57","2:02","8","6","2.44","0.0","688","--","--","Nej","00:00:35","9","00:03:36","00:10:53","25","29"
Löpning,2022-07-18 19:48:49,false,"Strömstad Löpning","0.86","102","00:07:59.6","139","164","1.5","51","224","9:19","1:46","6","6","1.90","0.0","582","--","--","Nej","00:00:35","8","00:02:10","00:08:04.0","25","28"
Löpning,2022-07-18 19:38:37,false,"Strömstad Löpning","0.89","65","00:07:19.8","117","148","0.5","59","225","8:12","1:56","6","3","1.95","0.0","540","--","--","Nej","00:00:29.8","8","00:02:33","00:07:19.8","25","28"
Löpning,2022-07-13 09:58:38,false,"Strömstad Löpning","0.23","24","00:03:38.4","109","118","0.1","31","190","15:35","3:38","--","--","2.11","0.0","250","--","--","Nej","00:00:15","7","00:02:06","00:03:57.2","27","27"
Löpning,2022-07-13 09:49:15,false,"Strömstad Löpning","0.30","37","00:04:26.3","113","136","0.2","45","224","14:51","3:02","--","--","1.96","0.0","210","--","--","Nej","00:00:15","9","00:02:06","00:04:26.3","27","28"
Löpning,2022-07-13 09:41:50,false,"Strömstad Löpning","0.23","18","00:03:26.2","97","106","0.1","44","208","14:52","3:26","--","--","1.49","0.0","154","--","--","Nej","00:00:11.2","8","00:01:23.2","00:03:26.2","27","28"
Löpning,2022-07-13 09:34:42,false,"Strömstad Löpning","0.23","33","00:03:24.5","126","139","0.3","20","194","14:49","3:37","--","--","5.71","0.0","226","--","--","Nej","00:00:09.5","8","00:01:10","00:03:28.3","27","27"
Löpning,2022-07-13 09:19:50,false,"Strömstad Löpning","1.04","134","00:12:07","131","167","1.9","44","224","11:40","2:18","8","5","2.12","0.0","702","--","--","Nej","00:00:35","9","00:04:00","00:12:07","25","28"
Löpning,2022-07-13 09:09:45,false,"Strömstad Löpning","0.99","95","00:08:25.5","131","157","1.1","58","224","8:32","1:58","1","1","2.18","0.0","672","--","--","Nej","00:00:05.5","9","00:02:21","00:08:25.5","26","29"
Löpning,2022-07-13 08:58:17,false,"Strömstad Löpning","1.03","83","00:10:33","111","145","0.5","46","216","10:13","2:11","2","2","2.71","0.0","610","--","--","Nej","00:00:35","9","00:03:01","00:10:33","26","29"
Löpning,2022-07-09 22:05:16,false,"Strömstad Löpning","0.27","37","00:04:36.1","115","133","0.4","30","203","16:46","3:17","--","--","3.36","0.0","430","--","--","Nej","00:00:06.1","7","00:02:48","00:04:36.1","27","27"
Löpning,2022-07-09 21:57:02,false,"Strömstad Löpning","0.22","33","00:04:42.6","106","121","0.2","44","212","21:49","3:06","--","--","1.03","0.0","336","--","--","Nej","00:00:12.6","7","00:02:16","00:04:42.6","27","27"
Löpning,2022-07-09 21:49:09,false,"Strömstad Löpning","0.23","42","00:04:36.5","121","140","0.3","24","188","20:02","4:00","--","--","2.14","0.0","364","--","--","Nej","00:00:06.5","7","00:02:04","00:04:36.5","27","28"
Löpning,2022-07-09 21:41:38,false,"Strömstad Löpning","0.21","21","00:04:36.6","93","124","0.1","20","225","22:12","6:00","--","--","1.90","0.0","136","--","--","Nej","00:00:06.6","7","00:01:08","00:04:36.6","26","27"
Löpning,2022-07-07 12:54:06,false,"Strömstad Löpning","0.34","31","00:04:34.5","108","118","0.2","48","213","13:29","2:23","1","--","1.69","0.0","318","--","--","Nej","00:00:15","9","00:02:09","00:04:34.5","26","27"
Löpning,2022-07-07 12:46:57,false,"Strömstad Löpning","0.25","24","00:03:20.8","108","122","0.2","57","212","13:24","1:46","3","--","1.52","0.0","188","--","--","Nej","00:00:05.8","8","00:01:16","00:03:20.8","23","27"
Löpning,2022-07-07 12:40:12,false,"Strömstad Löpning","0.27","27","00:04:06.6","104","114","0.2","46","214","14:58","2:38","--","--","1.60","0.0","272","--","--","Nej","00:00:06.6","9","00:01:17","00:04:06.6","26","28"
Löpning,2022-07-07 12:32:03,false,"Strömstad Löpning","0.25","19","00:03:25.8","100","113","0.1","42","208","13:42","2:49","--","--","2.46","0.0","194","--","--","Nej","00:00:10.8","8","00:00:58","00:03:44.2","27","27"
Löpning,2022-07-07 12:17:27,false,"Strömstad Löpning","0.92","98","00:07:37.0","138","159","1.4","60","216","8:16","2:12","2","2","2.24","0.0","542","--","--","Nej","00:00:35","8","00:02:29","00:07:37.0","26","28"
Löpning,2022-07-07 12:07:10,false,"Strömstad Löpning","0.93","77","00:06:54.5","131","153","0.8","60","208","7:27","2:23","6","3","2.53","0.0","578","--","--","Nej","00:00:04.5","8","00:02:47","00:06:54.5","23","28"
Löpning,2022-07-07 11:55:37,false,"Strömstad Löpning","1.03","97","00:10:26","120","140","0.7","57","216","10:05","1:54","6","4","1.81","0.0","738","--","--","Nej","00:00:35","10","00:04:24","00:10:50","25","29"
Cykling,2022-07-04 22:54:26,false,"Cykling","0.00","92","00:07:50.0","136","171","1.4","--","--","--","--","--","--","--","0.0","--","--","--","Nej","00:00:20","8","00:00:00","00:07:50.0","--","--"
Cykling,2022-07-04 22:47:01,false,"Cykling","0.00","67","00:04:28.5","160","183","1.7","--","--","--","--","--","--","--","0.0","--","--","--","Nej","00:00:30","8","00:00:00","00:04:28.5","--","--"
Cykling,2022-07-04 22:41:01,false,"Cykling","0.00","78","00:05:31.8","155","186","1.9","--","--","--","--","--","--","--","0.0","--","--","--","Nej","00:00:30","8","00:00:00","00:05:31.8","--","--"
Cykling,2022-07-04 22:28:46,false,"Cykling","0.00","76","00:05:29.6","151","176","1.7","--","--","--","--","--","--","--","0.0","--","--","--","Nej","00:00:30","8","00:00:00","00:05:29.6","--","--"
Löpning,2021-07-29 21:13:18,false,"Strömstad Löpning","3.08","249","00:16:34","175","200","3.3","135","216","5:23","2:45","1","1","1.38","0.0","2,072","--","--","Nej","00:00:03.8","62","--:--:--","00:16:34","26","28"
Löpning,2021-07-29 20:47:50,false,"Strömstad Löpning","3.63","280","00:20:14","155","206","3.4","122","214","5:34","2:45","--","--","1.50","0.0","2,342","--","--","Nej","00:00:15","62","--:--:--","00:20:46","25","29"
Löpning,2021-03-26 17:08:23,false,"Borås Löpning","0.52","46","00:06:06.6","113","139","0.3","45","220","11:43","1:35","--","--","1.74","0.0","288","--","--","Nej","00:00:02.7","10","00:01:45","00:06:06.6","133","134"
Löpning,2021-03-26 16:58:42,false,"Borås Löpning","0.75","52","00:06:57.6","113","136","0.3","50","228","9:14","1:35","--","--","1.99","0.0","382","--","--","Nej","00:00:02.1","12","00:02:06","00:06:57.6","131","135"
Löpning,2021-03-26 16:44:51,false,"Borås Löpning","0.89","61","00:11:09","99","133","0.3","38","232","12:31","1:45","1","--","1.75","0.0","488","--","--","Nej","00:00:15.7","13","00:02:42","00:11:19","133","134"
Löpning,2021-03-23 20:48:47,false,"Borås Löpning","1.45","104","00:13:14","114","146","0.7","64","209","9:09","1:50","--","0","1.96","0.0","990","--","--","Nej","00:01:00","9","00:05:38","00:13:14","133","135"
Löpning,2021-03-16 19:04:25,false,"Borås Löpning","1.77","130","00:09:32.9","147","183","2.1","126","218","5:24","3:01","9","2","1.64","0.0","1,186","--","--","Nej","00:00:03.2","22","00:07:46","00:09:40.7","128","136"
Löpning,2021-03-16 18:55:34,false,"Borås Löpning","1.67","112","00:08:32.3","150","179","2.1","154","220","5:06","3:04","--","1","1.26","0.0","1,090","--","--","Nej","00:00:03.7","21","00:07:23.7","00:08:32.3","133","136"
Löpning,2021-03-16 18:34:07,false,"Borås Löpning","4.06","235","00:17:37","143","170","2.3","161","173","4:20","3:31","--","--","1.43","0.0","2,824","--","--","Nej","00:00:10.3","11","00:17:31","00:17:37","134","137"
Löpning,2021-03-09 20:04:29,false,"Borås Löpning","1.24","153","00:12:30","139","169","2.0","69","202","10:03","2:32","1","--","1.19","0.0","898","--","--","Nej","00:00:00.7","14","00:04:48","00:12:39","132","135"
Löpning,2021-03-03 18:04:58,false,"Löpning","9.68","866","00:56:38","162","184","4.2","157","168","5:51","4:26","--","--","1.09","0.0","8,838","--","--","Nej","00:01:25.4","11","00:56:29","00:56:38","--","--"
Löpning,2021-01-20 09:09:37,false,"Löpning","8.06","530","00:46:20","139","152","2.4","160","169","5:45","3:43","--","--","1.09","0.0","7,412","--","--","Nej","00:00:20.2","9","00:46:12","00:47:30","--","--"
Löpning,2020-11-23 09:44:00,false,"Löpning","2.45","256","00:14:57","172","192","3.2","158","166","6:06","4:30","--","--","1.04","0.0","2,378","--","--","Nej","00:02:40.8","3","00:14:51","00:14:57","--","--"
Löpning,2020-11-14 13:53:42,false,"Löpning","0.01","72","00:20:43","94","112","0.3","7","151","--","6:51","--","--","0.09","0.0","24","--","--","Nej","00:00:20","50","00:00:03","00:26:00","--","--"
Löpning,2020-10-30 13:39:47,false,"Löpning","1.07","82","00:06:20.5","139","151","1.2","155","166","5:56","5:21","--","--","1.09","0.0","996","--","--","Nej","00:00:23.8","2","00:06:15","00:06:20.5","--","--"
Löpning,2020-10-21 10:59:06,false,"Borås Löpning","1.82","123","00:19:39","104","134","0.5","60","209","10:50","2:26","1","1","3.87","0.0","1,360","--","--","Nej","00:00:39.5","14","00:08:09","00:19:54","134","136"
Löpning,2020-10-20 19:31:56,false,"Borås Löpning","1.39","145","00:20:35","111","136","0.8","35","209","14:46","2:19","6","3","14.07","0.0","1,020","--","--","Nej","00:00:09.7","20","00:08:08","00:22:31","134","143"
Löpning,2020-07-19 14:31:24,false,"Strömstad Löpning","0.69","75","00:05:41.4","140","154","1.1","108","166","8:12","5:15","--","--","1.13","0.0","670","--","--","Nej","00:05:41.4","1","00:05:41.4","00:05:41.4","27","27"
Löpning,2020-07-02 10:33:28,false,"Löpning","0.81","60","00:04:40.0","137","151","0.9","152","167","5:47","5:05","--","--","1.14","0.0","732","--","--","Nej","00:04:40.0","1","00:04:32","00:04:40.0","--","--"
Löpning,2020-06-18 13:01:55,false,"Strömstad Löpning","0.70","64","00:05:46.1","128","154","0.9","112","169","8:11","5:11","--","--","1.10","0.0","692","--","--","Nej","00:05:46.1","1","00:04:06","00:05:46.1","27","27"
Löpning,2020-05-22 11:12:29,false,"Strömstad Löpning","7.41","633","00:39:15","166","197","4.1","155","185","5:18","3:16","7","18","1.22","0.0","6,212","--","--","Nej","00:02:11.9","8","00:38:46","00:39:15","15","36"
Löpning,2020-05-15 15:54:35,false,"Borås Löpning","9.05","682","00:40:07","176","188","4.6","163","172","4:26","3:00","159","13,625","1.38","0.0","6,542","--","--","Nej","00:00:09.4","10","00:40:04","00:40:29","232","13,792"
Styrketräning,2020-05-11 18:26:35,false,"Strength","0.00","295","00:49:21","107","137","0.7","--","--","--","--","--","--","--","0.0","372","186","18","Nej","--:--:--","1","00:14:19","00:49:21","--","--"
Löpning,2020-05-08 09:24:52,false,"Löpning","0.44","51","00:05:17.9","122","143","0.5","73","166","11:58","4:54","--","--","1.14","0.0","414","--","--","Nej","--:--:--","1","00:02:21","00:05:17.9","--","--"
Styrketräning,2020-05-07 18:07:17,false,"Strength","0.00","329","00:53:00","110","134","1.1","--","--","--","--","--","--","--","0.0","150","75","11","Nej","--:--:--","1","00:17:54","00:54:43","--","--"
Styrketräning,2020-05-05 18:26:10,false,"Strength","0.00","59","00:16:25","95","119","0.2","--","--","--","--","--","--","--","0.0","36","18","4","Nej","--:--:--","1","00:03:53.7","00:16:25","--","--"
Styrketräning,2020-05-04 18:43:20,false,"Strength","0.00","276","00:38:25","114","151","1.1","--","--","--","--","--","--","--","0.0","272","136","14","Nej","--:--:--","1","00:14:16","00:38:25","--","--"
Löpning,2020-05-03 13:01:35,false,"Strömstad Löpning","3.03","305","00:43:54","115","154","1.9","44","235","14:28","1:38","1","1","2.26","0.0","2,582","--","--","Nej","00:00:15.3","23","00:13:14","00:43:55","26","29"
Löpning,2020-05-01 15:14:42,false,"Strömstad Löpning","0.77","55","00:09:32.7","107","140","0.3","67","240","12:20","1:57","140","154","0.69","0.0","262","--","--","Nej","00:00:12.7","29","00:03:30","00:09:32.7","6","46"
Löpning,2020-05-01 14:59:28,false,"Strömstad Löpning","0.65","88","00:12:08","116","173","0.9","66","211","18:32","2:31","97","74","1.18","0.0","296","--","--","Nej","00:00:15","29","00:03:56","00:12:08","-17","9"
Löpning,2020-05-01 14:42:58,false,"Strömstad Löpning","0.84","100","00:14:26","118","165","0.8","42","220","17:16","1:36","812","729","3.29","0.0","342","--","--","Nej","00:00:15","27","00:05:57","00:14:26","6","148"
Styrketräning,2020-04-28 18:38:57,false,"Strength","0.00","266","00:40:34","112","146","1.0","--","--","--","--","--","--","--","0.0","340","170","15","Nej","--:--:--","1","00:15:54","00:40:34","--","--"
Styrketräning,2020-04-27 21:39:27,false,"Strength","0.00","252","00:42:05","107","144","0.6","--","--","--","--","--","--","--","0.0","214","107","15","Nej","--:--:--","1","00:13:38","00:42:05","--","--"
Styrketräning,2020-04-23 20:48:46,false,"Strength","0.00","488","01:04:21","121","149","2.0","--","--","--","--","--","--","--","0.0","254","127","19","Nej","--:--:--","1","00:36:27","01:04:32","--","--"
Styrketräning,2020-04-22 09:32:39,false,"Strength","0.00","126","00:22:05","105","124","0.4","--","--","--","--","--","--","--","0.0","102","51","12","Nej","--:--:--","1","00:08:18.4","00:22:05","--","--"
Löpning,2020-04-21 17:42:40,false,"Strömstad Löpning","13.09","1,059","01:10:54","165","196","4.4","141","174","5:25","3:58","5","5","1.30","0.0","10,182","--","--","Nej","00:00:18.7","25","01:03:28","01:10:57","26","29"
Styrketräning,2020-04-20 19:52:42,false,"Strength(2)a","0.00","336","00:43:53","120","157","1.5","--","--","--","--","--","--","--","0.0","434","217","17","Nej","--:--:--","1","00:08:36.7","00:43:53","--","--"
Löpning,2020-04-20 18:33:10,false,"Strömstad Löpning","10.01","857","00:55:25","165","190","4.5","160","176","5:32","4:23","361","335","1.13","0.0","8,886","--","--","Nej","00:00:03.3","11","00:55:16","00:55:25","-14","56"
Löpning,2020-04-16 22:14:10,false,"Strömstad Löpning","1.01","87","00:06:27.6","147","165","1.6","139","176","6:22","3:58","--","--","1.19","0.0","956","--","--","Nej","00:00:26.8","2","00:05:54","00:06:27.6","8","13"
Löpning,2020-04-13 10:56:10,false,"Strömstad Löpning","3.04","233","00:30:54","115","149","1.6","75","211","10:09","1:08","--","16","4.91","0.0","2,490","--","--","Nej","00:00:09.7","4","00:17:55","00:30:57","10","27"
Löpning,2020-04-09 17:28:12,false,"Löpning","5.92","502","00:32:01","166","195","3.9","157","177","5:24","3:25","--","--","1.17","0.0","5,038","--","--","Nej","00:04:13.5","6","00:31:45","00:32:01","--","--"
Löpning,2020-03-30 16:03:47,false,"Strömstad Löpning","6.21","556","00:38:46","157","183","3.5","153","177","6:15","4:31","69","70","1.04","0.0","6,052","--","--","Nej","00:01:11.1","7","00:38:20","00:38:46","--","49"
Styrketräning,2020-03-26 17:10:57,false,"Strength(2)a","0.00","747","04:33:05","79","141","1.0","--","--","--","--","--","--","--","0.0","178","89","11","Nej","--:--:--","1","00:06:26.5","04:35:37","--","--"
Löpning,2020-03-18 18:42:02,false,"Löpning","4.01","326","00:17:58","184","203","4.0","159","171","4:29","3:26","--","--","1.41","0.0","2,850","--","--","Nej","00:00:04.8","5","00:17:55","00:19:30","--","--"
Löpning,2020-03-12 18:28:25,false,"Löpning","0.71","51","00:03:46.5","145","158","1.0","143","191","5:18","3:06","--","--","1.32","0.0","566","--","--","Nej","--:--:--","1","00:03:25","00:03:46.5","--","--"
Löpning,2020-03-10 18:06:09,false,"Löpning","1.13","75","00:06:09.7","136","147","1.0","153","201","5:27","3:16","--","--","1.20","0.0","966","--","--","Nej","00:00:44.9","2","00:05:43","00:06:09.7","--","--"
Löpning,2020-03-05 18:16:53,false,"Löpning","0.59","32","00:02:50.3","130","143","0.4","151","178","4:48","3:07","--","--","1.38","0.0","456","--","--","Nej","--:--:--","1","00:02:44","00:02:50.3","133","133"
Löpning,2020-02-23 12:42:40,false,"Tingsryd Löpning","0.66","58","00:04:25.9","141","160","1.0","116","225","6:42","2:56","--","--","1.28","0.0","566","--","--","Nej","--:--:--","1","00:03:14","00:04:25.9","142","142"
Löpning,2020-02-22 15:17:21,false,"Löpning","0.60","38","00:03:06.1","137","145","0.6","155","166","5:11","4:15","--","--","1.24","0.0","488","--","--","Nej","--:--:--","1","00:03:02","00:03:06.1","--","--"
Löpning,2020-02-20 18:21:45,false,"Löpning","0.55","37","00:02:58.0","138","151","0.6","151","165","5:24","4:13","--","--","1.23","0.0","462","--","--","Nej","--:--:--","1","00:02:49","00:02:58.0","--","--"
Styrketräning,2020-01-27 19:51:37,false,"Strength","0.00","189","00:26:07","115","141","0.9","--","--","--","--","--","--","--","0.0","158","79","13","Nej","--:--:--","1","00:07:48.6","00:27:52","--","--"
Styrketräning,2019-12-27 16:36:09,false,"Strength","0.00","403","01:07:58","108","130","1.0","--","--","--","--","--","--","--","0.0","554","164","20","Nej","--:--:--","1","00:12:29","01:10:25","--","--"
