Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Training Stress Score®,Steg,Totalt antal repetitioner,Totalt antal set,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpband,2026-01-10 18:27:54,false,"Löpband","10.05","776","01:01:23","142","162","2.8","166","173","6:06","5:12","--","--","1.06","0.0","10,156","--","--","Nej","00:00:40.1","12","01:01:11","01:01:37","--","--"
Löpband,2026-01-08 22:42:06,false,"Löpband","1.97","189","00:10:33","170","194","2.7","173","182","5:22","4:56","--","--","1.08","0.0","1,802","--","--","Nej","00:05:00.4","2","00:10:16","00:10:40","--","--"
Löpband,2026-01-08 22:08:36,false,"Löpband","5.13","531","00:30:20","168","191","3.8","157","225","5:55","4:07","--","--","1.04","0.0","4,730","--","--","Nej","00:00:07.9","11","00:26:54","00:30:20","--","--"
Löpband,2026-01-06 21:49:09,false,"Löpband","3.61","252","00:20:06","135","150","2.0","166","171","5:34","5:12","--","--","1.08","0.0","3,330","--","--","Nej","00:03:28.9","4","00:20:03","00:20:06","--","--"
Löpband,2026-01-05 18:33:09,false,"Löpband","7.30","695","00:39:54","166","199","4.2","169","182","5:28","3:53","--","--","1.32","0.0","6,724","--","--","Nej","00:04:08.7","9","00:39:48","00:39:54","--","--"
Löpband,2026-01-03 21:06:16,false,"Löpband","6.85","618","00:30:12","184","201","5.0","171","176","4:24","4:32","--","--","1.13","0.0","5,140","--","--","Nej","00:04:17.3","6","00:29:58","00:30:12","--","--"
Löpband,2025-12-30 17:00:52,false,"Löpband","5.40","477","00:30:16","150","182","3.2","168","174","5:36","4:51","--","--","1.06","0.0","5,070","--","--","Nej","00:02:10.6","6","00:30:14","00:30:16","--","--"
Löpning,2025-12-27 14:30:25,false,"Strömstad Löpning","8.23","688","00:42:52","149","185","3.5","167","187","5:13","3:48","125","128","1.15","0.0","7,166","--","--","Nej","00:01:07.0","9","00:42:46","00:42:56","4","29"
Löpning,2025-12-21 13:36:40,false,"Göteborg Löpning","13.71","1,134","01:13:49","145","161","3.9","168","179","5:23","4:30","176","176","1.10","0.0","12,402","--","--","Nej","00:04:12.1","14","01:13:47","01:13:49","3","97"
Löpband,2025-12-19 19:40:41,false,"Löpband","6.38","483","00:36:31","137","161","2.6","166","174","5:44","5:02","--","--","1.05","0.0","6,078","--","--","Nej","00:02:20.3","7","00:36:14","00:36:31","--","--"
Löpband,2025-12-18 09:15:37,false,"Löpband","8.94","799","00:57:52","151","183","4.2","142","223","6:28","3:16","--","--","1.03","0.0","8,142","--","--","Nej","00:00:31.5","17","00:46:45","01:00:42","--","--"
Löpband,2025-12-15 21:45:52,false,"Löpband","8.32","695","00:47:53","145","178","3.4","168","176","5:45","4:46","--","--","1.02","0.0","8,016","--","--","Nej","00:01:14.2","9","00:47:43","00:47:53","--","--"
Löpning,2025-12-13 19:38:58,false,"Göteborg Löpning","10.57","864","00:53:17","157","186","4.4","169","176","5:02","4:06","129","126","1.18","0.0","8,978","--","--","Nej","00:03:30.5","11","00:53:12","00:53:17","3","98"
Löpband,2025-12-10 20:20:23,false,"Löpband","10.05","953","01:01:22","158","189","4.7","148","220","6:06","3:16","--","--","1.01","0.0","8,836","--","--","Nej","00:01:00.2","19","00:50:54","01:01:50","--","--"
Löpband,2025-12-08 21:24:31,false,"Löpband","7.43","641","00:42:48","148","181","3.5","168","182","5:46","3:47","--","--","1.03","0.0","7,166","--","--","Nej","00:02:44.7","8","00:42:45","00:42:48","--","--"
Löpband,2025-12-07 13:19:03,false,"Löpband","6.20","543","00:32:53","158","187","3.8","171","182","5:18","3:40","--","--","1.10","0.0","5,616","--","--","Nej","00:01:22.1","7","00:32:49","00:32:53","--","--"
Löpband,2025-12-04 19:09:44,false,"Löpband","11.01","948","01:02:10","152","188","4.1","169","184","5:39","3:25","--","--","1.05","0.0","10,470","--","--","Nej","00:00:04.8","12","01:02:03","01:02:36","--","--"
Löpband,2025-12-03 21:40:45,false,"Löpband","7.01","572","00:41:17","141","160","3.0","169","182","5:53","4:22","--","--","1.00","0.0","6,958","--","--","Nej","00:00:09.9","8","00:40:59","00:42:38","--","--"
Löpband,2025-11-26 21:57:23,false,"Löpband","7.02","639","00:40:59","150","181","3.6","170","180","5:50","3:51","--","--","1.01","0.0","6,922","--","--","Nej","00:00:06.6","8","00:40:49","00:41:33","--","--"
Löpband,2025-11-24 22:23:36,false,"Löpband","5.01","472","00:30:18","148","165","3.2","169","174","6:03","5:18","--","--","0.98","0.0","5,116","--","--","Nej","00:00:03.0","6","00:30:16","00:31:10","--","--"
Löpband,2025-11-18 22:02:54,false,"Löpband","5.25","493","00:31:35","149","163","3.3","170","178","6:01","4:20","--","--","1.14","0.0","5,354","--","--","Nej","00:00:26.2","7","00:31:29","00:31:35","--","--"
Styrketräning,2025-11-17 19:51:32,false,"Strength","0.00","472","01:47:39","88","134","0.5","--","--","--","--","--","--","--","0.0","82","41","6","Nej","01:47:39","1","00:31:26","01:47:39","--","--"
Löpning,2025-11-16 19:56:24,false,"Göteborg Löpning","10.70","912","01:00:23","153","188","3.9","170","177","5:39","4:42","119","117","1.04","0.0","10,268","--","--","Nej","00:04:24.7","11","01:00:19","01:00:55","3","97"
Löpband,2025-11-13 16:17:14,false,"Löpband","7.40","619","00:42:29","145","164","3.3","159","174","5:45","4:16","--","--","1.10","0.0","6,770","--","--","Nej","00:04:25.2","8","00:39:42","00:42:29","--","--"
Löpband,2025-11-10 21:09:54,false,"Löpband","7.49","629","00:40:38","148","173","3.4","166","176","5:25","4:12","--","--","1.11","0.0","6,698","--","--","Nej","00:03:04.4","8","00:39:53","00:41:14","--","--"
Löpning,2025-11-09 17:28:47,false,"Göteborg Löpning","6.90","642","00:41:13","159","188","3.7","165","176","5:58","4:36","127","126","1.01","0.0","6,808","--","--","Nej","00:04:49.2","7","00:41:04","00:41:13","50","71"
Löpning,2025-10-26 13:01:46,false,"Göteborg Löpning","7.95","731","00:44:47","164","195","3.8","169","174","5:38","4:28","166","166","1.05","0.0","7,550","--","--","Nej","00:04:59.1","8","00:44:43","00:44:47","50","73"
Löpning,2025-10-18 12:19:49,false,"Göteborg Löpning","10.79","952","01:10:30","147","171","3.2","167","175","6:32","5:00","130","129","0.92","0.0","11,762","--","--","Nej","00:05:45.6","11","01:10:24","01:11:05","3","97"
Styrketräning,2025-09-13 21:52:24,false,"Strength","0.00","318","00:56:28","100","133","0.4","--","--","--","--","--","--","--","0.0","204","102","13","Nej","00:56:28","1","00:37:30","00:56:28","--","--"
Löpning,2025-09-12 18:34:31,false,"Göteborg Löpning","3.80","322","00:25:47","122","155","2.4","156","180","6:47","5:28","103","94","0.95","0.0","4,032","--","--","Nej","00:06:20.5","4","00:24:30","00:25:47","50","92"
Styrketräning,2025-09-11 17:24:51,false,"Strength","0.00","310","00:49:49","103","144","0.7","--","--","--","--","--","--","--","0.0","64","32","3","Nej","00:49:49","1","00:45:47","00:49:49","--","--"
Styrketräning,2025-08-28 16:30:18,false,"Strength","0.00","232","00:52:49","90","119","0.3","--","--","--","--","--","--","--","0.0","38","19","4","Nej","00:52:49","1","00:50:19","00:52:49","--","--"
Löpning,2025-08-23 20:23:02,false,"Göteborg Löpning","10.71","870","00:56:50","156","179","3.7","172","180","5:18","4:41","112","112","1.10","0.0","9,774","--","--","Nej","00:03:56.8","11","00:56:38","00:57:14","3","97"
Löpning,2025-08-22 18:24:12,false,"Göteborg Löpning","5.87","514","00:37:22","145","163","2.8","163","180","6:22","4:36","155","130","0.96","0.0","6,114","--","--","Nej","00:05:52.6","6","00:35:37","00:37:22","50","82"
Inomhuscykling,2025-08-19 15:16:00,false,"Inomhuscykling","0.00","437","00:41:37","130","149","2.0","--","--","--","--","--","--","--","0.0","--","--","--","Nej","00:41:37","1","00:00:00","00:41:37","--","--"
Löpning,2025-08-15 15:19:35,false,"Göteborg Löpning","10.08","866","00:51:11","162","194","4.4","147","190","5:05","3:33","6","7","1.35","0.0","7,720","--","--","Nej","00:01:00.2","22","00:41:51","00:51:52","50","54"
Löpning,2025-08-13 18:17:32,false,"Göteborg Löpning","7.33","611","00:43:47","142","159","2.8","168","178","5:59","5:01","143","143","0.99","0.0","7,366","--","--","Nej","00:01:57.4","8","00:43:41","00:43:47","50","71"
Löpning,2025-08-11 19:27:07,false,"Göteborg Löpning","20.10","1,602","01:40:17","162","184","4.8","171","194","4:59","4:11","292","299","1.17","0.0","17,156","--","--","Nej","00:00:32.6","21","01:39:57","01:42:32","3","101"
Löpband,2025-08-08 10:04:19,false,"Löpband","10.65","779","00:57:37","155","184","3.8","145","240","5:24","3:36","--","--","1.13","0.0","8,216","--","--","Nej","00:00:59.6","19","00:45:39","00:57:37","--","--"
Löpning,2025-08-07 20:14:48,false,"Strömstad Löpning","8.40","668","00:47:57","139","166","3.0","169","201","5:42","3:00","119","118","1.04","0.0","8,096","--","--","Nej","00:02:22.3","9","00:47:40","00:48:19","3","29"
Styrketräning,2025-08-06 20:10:35,false,"Strength","0.00","207","01:11:37","78","115","0.2","--","--","--","--","--","--","--","0.0","94","47","7","Nej","01:11:37","1","01:02:29","01:11:37","--","--"
Löpning,2025-08-05 15:44:09,false,"Strömstad Löpning","17.08","1,356","01:26:38","154","179","4.5","171","180","5:04","4:11","235","234","1.15","0.0","14,792","--","--","Nej","00:00:27.2","18","01:26:30","01:27:04","4","53"
Styrketräning,2025-08-02 08:07:47,false,"Strength","0.00","167","00:44:21","85","123","0.1","--","--","--","--","--","--","--","0.0","8","4","1","Nej","00:44:21","1","00:44:21","00:44:21","--","--"
